specimen_id,longitude,latitude,key,node_name
rabica_5935,-84.636676,10.47985,rabica,
rabica_5936,-156.243057,20.91153,rabica,
rabica_5937,-75.850023,5.613698,rabica,
rabica_5938,-66.419957,18.478251,rabica,
rabica_5939,-75.254248,2.936914,rabica,
rabica_5940,-96.94255,19.496856,rabica,
rabica_5941,-66.887734,18.174953,rabica,
rabica_5942,-78.901367,22.09502,rabica,
Psilanthus lebrunianus (Germ. & Kesler) J.-F. Leroy ex Bridson_5944,13.205836,1.085648,Psilanthus,
Psilanthus mannii Hook. f._5945,13.171629,1.176217,Psilanthus,
Psilanthus mannii Hook. f._5946,13.171629,1.176217,Psilanthus,
Psilanthus mannii Hook. f._5947,13.171629,1.176217,Psilanthus,
Psilanthus lebrunianus (Germ. & Kesler) J.-F. Leroy ex Bridson_5948,13.205836,1.085648,Psilanthus,
Psilanthus lebrunianus (Germ. & Kesler) J.-F. Leroy ex Bridson_5949,13.205836,1.085648,Psilanthus,
Psilanthus mannii Hook. f._5950,13.171629,1.176217,Psilanthus,
Psilanthus lebrunianus (Germ. & Kesler) J.-F. Leroy ex Bridson_5951,13.205836,1.085648,Psilanthus,
robusta_5953,76.79368,9.9291,robusta,
rabica_5954,76.73231,9.89427,rabica,
robusta_5955,76.79648,9.98714,robusta,
rabica_5956,76.68314,10.10601,rabica,
robusta_5957,76.60099,9.17132,robusta,
robusta_5958,76.6192,9.1402,robusta,
robusta_5959,76.60099,9.17132,robusta,
robusta_5960,76.60099,9.17132,robusta,
robusta_5961,76.60099,9.17132,robusta,
robusta_5962,76.79648,9.98714,robusta,
robusta_5963,76.78542,9.98487,robusta,
robusta_5964,76.60099,9.17132,robusta,
robusta_5965,76.60099,9.17132,robusta,
robusta_5966,76.60099,9.17132,robusta,
robusta_5967,76.60099,9.17132,robusta,
robusta_5968,76.79368,9.9291,robusta,
robusta_5969,76.79648,9.98714,robusta,
robusta_5970,76.77294,9.98678,robusta,
robusta_5971,76.77294,9.98678,robusta,
robusta_5972,76.78542,9.98487,robusta,
rabica_5973,76.60491,9.16258,rabica,
robusta_5974,76.60465,9.16596,robusta,
robusta_5975,76.78542,9.98487,robusta,
robusta_5976,75.42914,11.82142,robusta,
rabica_5977,75.62991,11.60208,rabica,
robusta_5978,75.59033,11.61486,robusta,
robusta_5979,77.07182,8.45645,robusta,
robusta_5980,77.07249,8.47173,robusta,
robusta_5981,77.07249,8.47173,robusta,
robusta_5982,76.17419,11.76544,robusta,
robusta_5983,76.6192,9.1402,robusta,
robusta_5984,76.68718,10.10406,robusta,
robusta_5985,77.04894,8.34187,robusta,
robusta_5986,77.07249,8.47173,robusta,
robusta_5987,76.6192,9.1402,robusta,
robusta_5988,76.79368,9.9291,robusta,
robusta_5989,76.79368,9.9291,robusta,
robusta_5990,73.81055,18.49556,robusta,
robusta_5991,77.07182,8.45645,robusta,
robusta_5992,77.07249,8.47173,robusta,
rabica_5993,76.9488,8.63207,rabica,
robusta_5994,77.07249,8.47173,robusta,
robusta_5995,77.07079,8.4566,robusta,
robusta_5996,77.07249,8.47173,robusta,
robusta_5997,76.6192,9.1402,robusta,
rabica_5998,77.00463,8.60803,rabica,
robusta_5999,76.6192,9.1402,robusta,
robusta_6000,76.77294,9.98678,robusta,
robusta_6001,76.79368,9.9291,robusta,
rabica_6002,75.58973,11.59534,rabica,
robusta_6003,77.07249,8.47173,robusta,
robusta_6004,77.07249,8.47173,robusta,
robusta_6005,77.07249,8.47173,robusta,
rabica_6006,76.25866,11.66779,rabica,
rabica_6007,75.98766,11.39881,rabica,
rabica_6008,75.98766,11.39881,rabica,
rabica_6009,75.98766,11.39881,rabica,
rabica_6010,75.98766,11.39881,rabica,
rabica_6011,75.98766,11.39881,rabica,
robusta_6012,76.59883,9.15741,robusta,
robusta_6013,77.07249,8.47173,robusta,
robusta_6017,77.07249,8.47173,robusta,
robusta_6018,76.87823,9.19364,robusta,
robusta_6019,77.07249,8.47173,robusta,
rabica_6020,76.32646,9.49258,rabica,
robusta_6021,76.79368,9.9291,robusta,
robusta_6022,76.58799,9.39004,robusta,
robusta_6023,77.07249,8.47173,robusta,
rabica_6024,76.32646,9.49258,rabica,
rabica_6025,76.32646,9.49258,rabica,
robusta_6026,77.07249,8.47173,robusta,
robusta_6027,77.07249,8.47173,robusta,
rabica_6028,76.88135,9.1893,rabica,
rabica_6029,76.88135,9.1893,rabica,
rabica_6030,75.98766,11.39881,rabica,
rabica_6031,75.98766,11.39881,rabica,
