gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
4438884319				http://creativecommons.org/licenses/by-nc/4.0/	2023-11-03T08:23:54Z		https://www.inaturalist.org/observations/189445946	Franck Rakotonasolo					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 30598m to protect threatened taxon			https://www.inaturalist.org/observations/189445946	189445946		Franck Rakotonasolo																																	2023-09-21T12:10:18+03:00	12:10:18+03:00						2023-09-21 12:10:18																MG	Toamasina				Alaotra-Mangoro, MG-TM, MG												-19.1898726164	48.3800657706	EPSG:4326	30598																																		422592213				Franck Rakotonasolo		2023-10-30T06:25:12Z				473307								Coffea mangoroensis								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea							species							
4429954429		http://www.tropicos.org/Specimen/103407029		http://creativecommons.org/licenses/by/4.0/legalcode	2023-10-23 12:51:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		K	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:103407029	103407029	Razanatsima 2032	Aina Razanatsima|C. Zafindrafeno		4																																			2019	11	19												Africa & Madagascar				Madagascar	MG	Toamasina	Atsinanana		Atsinanana, Vatomandry, Ambalabe, Ambinanindrano II. Forêt de Vohibe. Récoltés avec Dera et Malina. Échantillons préservés en alcool.		736.00000000											-19.1647222	48.5530556																																								T. Andriamihajarivo (TAN)		2020				27906411								Coffea coursiana J.-F. Leroy								Plantae				Rubiaceae		Coffea				coursiana					J.-F. Leroy		ICNafp		No opinion	
4426957540		http://www.tropicos.org/Specimen/103400622		http://creativecommons.org/licenses/by/4.0/legalcode	2023-10-13 16:04:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		K	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:103400622	103400622	Andriamihajarivo 2550	Tefy Andriamihajarivo		4																														2749782					2022	12	17												Africa & Madagascar				Madagascar	MG	Toliara	Atsimo-Andrefana		District de Sakaraha, Commune de Mahaboboka, Fokotany de Marotsiraka Betsileo, Village le plus proche Berobotsy. Collectés avec Miandry Fagnarea, Nesy, Martin (Guides).		416.00000000											-22.8536110	44.2722223																																								T. Andriamihajarivo (TAN)		2023				27906314								Coffea perrieri Drake ex Jum. & H. Perrier								Plantae				Rubiaceae		Coffea				perrieri					Drake ex Jum. & H. Perrier		ICNafp		No opinion	
4420927340				http://creativecommons.org/licenses/by-nc/4.0/	2023-10-04T10:30:48Z		https://www.inaturalist.org/observations/66642769	merveille					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 30885m to protect threatened taxon			https://www.inaturalist.org/observations/66642769	66642769		merveille																																	2020-12-15T10:10:58+03:00	10:10:58+03:00						2020-12-15 10:10:58 AM GMT+03:00																MG	Mahajanga				Sofia, MG-MA, MG												-15.4074160266	47.5900082084	EPSG:4326	30885																																		225161869				Franck Rakotonasolo		2021-12-08T20:10:30Z				622296								Coffea bissetiae								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea							species							
4419829378		http://www.tropicos.org/Specimen/103387372		http://creativecommons.org/licenses/by/4.0/legalcode	2023-09-27 16:17:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		K	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:103387372	103387372	Rakotonirina 761	Nivo Rakotonirina|Richard Razakamalala|Rondro Hanitrinitiana Ramananjanahary		4																																			2012	3	1												Africa & Madagascar				Madagascar	MG	Toliara	Anosy		Anosy, Fort-Dauphin, Mahatalaky, fokontany Manafiafy. Forêt littorale S17 au bord de la rivière Elimoty.		6.00000000											-24.7963889	47.1661111																																								N. Rakotonirina		2012				27907255								Coffea abbayesii J.-F. Leroy								Plantae				Rubiaceae		Coffea				abbayesii					J.-F. Leroy		ICNafp		No opinion	
4419822375		http://www.tropicos.org/Specimen/103387373		http://creativecommons.org/licenses/by/4.0/legalcode	2023-09-27 16:17:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		BR	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:103387373	103387373	Ratovoson 1798	F. Ratovoson		5																																			2012	2	26												Africa & Madagascar				Madagascar	MG	Toliara	Anosy		Fort Dauphin, Mahatalaky, Belavenoko, S17 ou Vakiasambo, 2,5 km à l’est de Belavenoko.			10.00000000										-24.8427777	47.1361111																																								F. Ratovoson		2012				27907255								Coffea abbayesii J.-F. Leroy								Plantae				Rubiaceae		Coffea				abbayesii					J.-F. Leroy		ICNafp		No opinion	
4416674367				http://creativecommons.org/licenses/by-nc/4.0/	2023-09-21T05:36:38Z		https://www.inaturalist.org/observations/66642038	merveille					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 30885m to protect threatened taxon			https://www.inaturalist.org/observations/66642038	66642038		merveille																																	2020-12-15T08:41:22+03:00	08:41:22+03:00						2020-12-15 8:41:22 AM GMT+03:00																MG	Mahajanga				Sofia, MG-MA, MG												-15.4037320704	47.5042818181	EPSG:4326	30885																																		225162819				Franck Rakotonasolo		2021-12-08T20:16:57Z				622296								Coffea bissetiae								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea							species							
4416235362		http://www.tropicos.org/Specimen/103382893		http://creativecommons.org/licenses/by/4.0/legalcode	2023-09-25 02:21:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		MO	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:103382893	103382893	Andriambololonera 517	S. Andriambololonera|Hanta Razafindraibe|Richard Razakamalala		3																														2457529					2018	10	17												Africa & Madagascar				Madagascar	MG	Toamasina	Atsinanana		District de Toamasina II, Commune d'Ambohitandroho, Fokontany de Mahatsara, Village d'Ambodivoapaka. Forêt d'Analampotsy.		1.00000000											-18.2608333	49.3236111																																								S. Andriambololonera		2023				40011705								Coffea L.								Plantae				Rubiaceae		Coffea									L.		ICNafp		Legitimate	
4416193431		http://www.tropicos.org/Specimen/103382894		http://creativecommons.org/licenses/by/4.0/legalcode	2023-09-25 02:21:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		TAN	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:103382894	103382894	Andriambololonera 517	S. Andriambololonera|Hanta Razafindraibe|Richard Razakamalala		3																														2457529					2018	10	17												Africa & Madagascar				Madagascar	MG	Toamasina	Atsinanana		District de Toamasina II, Commune d'Ambohitandroho, Fokontany de Mahatsara, Village d'Ambodivoapaka. Forêt d'Analampotsy.		1.00000000											-18.2608333	49.3236111																																								S. Andriambololonera		2023				40011705								Coffea L.								Plantae				Rubiaceae		Coffea									L.		ICNafp		Legitimate	
4416185438		http://www.tropicos.org/Specimen/103382892		http://creativecommons.org/licenses/by/4.0/legalcode	2023-09-25 02:20:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		P	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:103382892	103382892	Andriambololonera 517	S. Andriambololonera|Hanta Razafindraibe|Richard Razakamalala		3																														2457529					2018	10	17												Africa & Madagascar				Madagascar	MG	Toamasina	Atsinanana		District de Toamasina II, Commune d'Ambohitandroho, Fokontany de Mahatsara, Village d'Ambodivoapaka. Forêt d'Analampotsy.		1.00000000											-18.2608333	49.3236111																																								S. Andriambololonera		2023				40011705								Coffea L.								Plantae				Rubiaceae		Coffea									L.		ICNafp		Legitimate	
