,specimen_id,"env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)"
0,abbayesii_0,10.0,6.0,7.0,6.0
1,abbayesii_1,10.0,9.0,14.0,5.0
2,abbayesii_2,10.0,9.0,14.0,5.0
3,abbayesii_3,10.0,10.0,7.0,5.0
4,abbayesii_4,10.0,9.0,14.0,5.0
5,abbayesii_5,10.0,10.0,7.0,5.0
6,abbayesii_6,10.0,9.0,14.0,5.0
7,abbayesii_7,10.0,9.0,14.0,5.0
8,abbayesii_8,,21.0,7.0,5.0
9,abbayesii_9,2.0,21.0,7.0,5.0
10,abbayesii_10,,,15.0,5.0
11,abbayesii_11,2.0,21.0,6.0,5.0
12,abbayesii_12,10.0,11.0,16.0,3.0
13,abbayesii_13,10.0,11.0,16.0,3.0
14,abbayesii_14,10.0,11.0,16.0,3.0
15,andrambovatensis_35,10.0,11.0,16.0,3.0
16,andrambovatensis_36,10.0,11.0,16.0,3.0
17,andrambovatensis_37,10.0,11.0,16.0,3.0
18,arenesiana_60,1.0,10.0,4.0,20.0
19,arenesiana_61,10.0,9.0,14.0,15.0
20,arenesiana_62,1.0,12.0,6.0,15.0
21,arenesiana_63,10.0,9.0,14.0,2.0
22,arenesiana_64,10.0,9.0,14.0,2.0
23,arenesiana_65,10.0,9.0,16.0,2.0
24,arenesiana_66,10.0,9.0,16.0,2.0
25,bertrandii_90,10.0,6.0,12.0,6.0
26,bertrandii_91,10.0,6.0,7.0,5.0
27,bertrandii_92,10.0,6.0,7.0,5.0
28,bertrandii_93,10.0,9.0,7.0,5.0
29,bertrandii_94,10.0,15.0,7.0,5.0
30,bertrandii_95,10.0,10.0,7.0,5.0
31,bertrandii_96,10.0,10.0,7.0,5.0
32,bertrandii_97,1.0,21.0,4.0,5.0
33,bertrandii_98,10.0,11.0,16.0,3.0
34,dubardii_974,9.0,18.0,5.0,8.0
35,dubardii_975,9.0,18.0,5.0,8.0
36,dubardii_976,9.0,18.0,5.0,8.0
37,dubardii_977,5.0,20.0,5.0,9.0
38,dubardii_978,5.0,20.0,3.0,9.0
39,dubardii_979,10.0,11.0,16.0,3.0
40,dubardii_980,10.0,11.0,16.0,3.0
41,dubardii_981,10.0,11.0,16.0,3.0
42,dubardii_982,7.0,22.0,7.0,13.0
43,dubardii_983,9.0,8.0,7.0,12.0
44,dubardii_984,7.0,22.0,2.0,13.0
45,dubardii_985,9.0,18.0,7.0,12.0
46,dubardii_986,7.0,22.0,5.0,13.0
47,dubardii_987,7.0,22.0,2.0,13.0
48,dubardii_988,9.0,8.0,7.0,12.0
49,dubardii_989,9.0,8.0,7.0,12.0
50,dubardii_990,9.0,8.0,7.0,12.0
51,dubardii_991,7.0,22.0,5.0,13.0
52,dubardii_992,7.0,22.0,5.0,13.0
53,dubardii_993,7.0,22.0,5.0,13.0
54,dubardii_994,7.0,22.0,5.0,13.0
55,dubardii_995,7.0,22.0,5.0,13.0
56,dubardii_996,7.0,22.0,5.0,13.0
57,dubardii_997,7.0,22.0,5.0,13.0
58,dubardii_998,7.0,22.0,5.0,13.0
59,dubardii_999,9.0,18.0,14.0,12.0
60,dubardii_1000,9.0,18.0,14.0,12.0
61,dubardii_1001,9.0,18.0,7.0,12.0
62,dubardii_1002,7.0,6.0,5.0,13.0
63,dubardii_1003,9.0,8.0,14.0,12.0
64,dubardii_1004,9.0,8.0,14.0,12.0
65,dubardii_1005,9.0,8.0,14.0,12.0
66,dubardii_1006,9.0,8.0,7.0,1.0
67,dubardii_1007,9.0,8.0,14.0,1.0
68,dubardii_1008,7.0,6.0,5.0,13.0
69,dubardii_1009,9.0,8.0,7.0,1.0
70,dubardii_1010,9.0,8.0,5.0,1.0
71,dubardii_1011,6.0,20.0,7.0,1.0
72,dubardii_1012,10.0,9.0,6.0,1.0
73,dubardii_1013,10.0,7.0,7.0,1.0
74,dubardii_1014,9.0,6.0,5.0,1.0
75,farafanganensis_1238,9.0,19.0,7.0,4.0
76,farafanganensis_1239,10.0,7.0,14.0,4.0
77,farafanganensis_1240,10.0,11.0,16.0,3.0
78,farafanganensis_1241,10.0,11.0,16.0,3.0
79,farafanganensis_1242,10.0,11.0,16.0,3.0
80,heimii_1305,10.0,12.0,6.0,19.0
81,heimii_1306,10.0,11.0,16.0,3.0
82,heimii_1307,10.0,11.0,16.0,3.0
83,heimii_1308,6.0,23.0,6.0,12.0
84,heimii_1309,,,25.0,
85,heimii_1310,,,25.0,
86,heimii_1311,9.0,8.0,7.0,1.0
87,heimii_1312,7.0,4.0,6.0,1.0
88,heimii_1313,7.0,23.0,7.0,1.0
89,heimii_1314,,,25.0,
90,heimii_1315,7.0,20.0,7.0,1.0
91,heimii_1316,,,25.0,
92,heimii_1317,6.0,20.0,5.0,1.0
93,heimii_1318,2.0,16.0,5.0,1.0
94,heimii_1319,6.0,23.0,7.0,1.0
95,heimii_1320,6.0,17.0,5.0,1.0
96,heimii_1321,6.0,17.0,5.0,1.0
97,heimii_1322,,,25.0,
98,heimii_1323,6.0,17.0,5.0,1.0
99,heimii_1324,6.0,17.0,6.0,1.0
100,heimii_1325,2.0,4.0,3.0,1.0
101,heimii_1326,,4.0,25.0,
102,heimii_1327,10.0,10.0,6.0,1.0
103,homollei_1332,10.0,11.0,16.0,3.0
104,homollei_1333,10.0,11.0,16.0,3.0
105,homollei_1334,10.0,11.0,14.0,2.0
106,homollei_1335,10.0,9.0,14.0,2.0
107,homollei_1336,10.0,9.0,14.0,2.0
108,homollei_1337,10.0,6.0,14.0,2.0
109,homollei_1338,10.0,11.0,16.0,2.0
110,homollei_1339,10.0,11.0,14.0,2.0
111,homollei_1340,10.0,11.0,14.0,2.0
112,humbertii_1342,,15.0,11.0,6.0
113,humbertii_1343,,3.0,6.0,6.0
114,humbertii_1344,,3.0,6.0,6.0
115,humbertii_1345,2.0,15.0,11.0,6.0
116,humbertii_1346,5.0,15.0,7.0,6.0
117,humbertii_1347,5.0,15.0,12.0,6.0
118,humbertii_1348,5.0,15.0,12.0,6.0
119,humbertii_1349,5.0,15.0,12.0,6.0
120,humbertii_1350,5.0,15.0,7.0,6.0
121,humbertii_1351,5.0,15.0,7.0,6.0
122,humbertii_1352,5.0,15.0,7.0,6.0
123,humbertii_1353,5.0,15.0,6.0,6.0
124,humbertii_1354,5.0,15.0,7.0,6.0
125,humbertii_1355,5.0,15.0,7.0,6.0
126,humbertii_1356,5.0,15.0,7.0,6.0
127,humbertii_1357,1.0,15.0,12.0,6.0
128,humbertii_1358,6.0,15.0,6.0,6.0
129,humbertii_1359,2.0,16.0,7.0,6.0
130,humbertii_1360,2.0,16.0,7.0,6.0
131,humbertii_1361,2.0,16.0,7.0,6.0
132,humbertii_1362,6.0,15.0,7.0,6.0
133,humbertii_1363,6.0,16.0,6.0,6.0
134,humbertii_1364,6.0,16.0,7.0,6.0
135,humbertii_1365,6.0,16.0,6.0,6.0
136,humbertii_1366,6.0,16.0,6.0,6.0
137,humbertii_1367,6.0,16.0,12.0,6.0
138,humbertii_1368,6.0,16.0,7.0,6.0
139,humbertii_1369,6.0,16.0,7.0,6.0
140,humbertii_1370,6.0,6.0,7.0,6.0
141,humbertii_1371,6.0,16.0,22.0,6.0
142,humbertii_1372,6.0,16.0,22.0,6.0
143,humbertii_1373,6.0,16.0,22.0,6.0
144,humbertii_1374,6.0,16.0,22.0,6.0
145,humbertii_1375,6.0,16.0,22.0,6.0
146,humbertii_1376,6.0,16.0,7.0,6.0
147,humbertii_1377,6.0,17.0,7.0,19.0
148,humbertii_1378,6.0,16.0,5.0,19.0
149,humblotiana_1379,,,,
150,humblotiana_1380,,,,
151,humblotiana_1381,,,,
152,humblotiana_1382,,,,
153,humblotiana_1383,,,,
154,humblotiana_1384,,,,
155,humblotiana_1385,,,,
156,humblotiana_1386,,,,
157,humblotiana_1387,,,,
158,humblotiana_1388,,,,
159,humblotiana_1389,,,,
160,humblotiana_1390,,,,
161,humblotiana_1391,10.0,11.0,16.0,3.0
162,humblotiana_1392,10.0,11.0,16.0,3.0
163,kianjavatensis_1469,10.0,11.0,16.0,3.0
164,kianjavatensis_1470,10.0,11.0,16.0,3.0
165,kianjavatensis_1471,10.0,11.0,16.0,3.0
