NodeName,XOffset
C_vatovavyensis_A830,0
C_sahafaryensis_A978,0
C_ankaranensis_A525,0
C_perrieri_A12,0
C_leroyi_A315,0
C_homollei_A945,0
C_costei_A956,-0
C_andrambovatensis_A310,-0
C_vianneyi_A946,-0
C_resinosa_A8,-0
C_montis-sacri_A321,-0
C_arenesiana_A403,-0
C_kianjavatensis_A602,-0
C_bertrandii_A5,-0
C_richardii_A575,-0
C_farafanganensis_A208,-0
C_abbayesii_A601,-0
C_millotii_A222,-0
C_dolichophylla_A206,-0
C_ambodirianensis_A572,-0
C_jumellei_A974,-0
C_tsirananae_A515,-0
C_humblotiana_BM19_20,-0
C_mogeneti_A975,-0
C_heimii_A516,-0
C_dubardii_A969,-0
C_ratsimamangae_A528,-0
C_lancifolia_A320,-0
C_tetragona_A252,-0
Tricalysia,-0
C_labatii_APD3096,-0
C_kihansiensis_APD2922,-0
C_humbertii_RNF785,-0
C_pervilleana_A957,-0
C_mcphersonii_A977,-0
C_augagneuri_A966,-0
C_macrocarpa-PET,-0
C_myrtifolia_MBR_A9,-0
C_mauritiana_BM17_25,-0
C_mauritiana_Makes4,-0
C_bernardiniana_MDC,-0
C_bissetiae,-0
C_boinensis,-0
C_ambongensis,-0
C_sakarahae_A304,-0
C_liaudii_A1013,-0
C_bonnieri_A535,-0
C_boiviniana_A980,-0
