specimen_id;latitude;longitude
ICE1-Bod001;60.046;-18.136
ICE1-Bod003;63.018;-28.068
ICE1-Bod004;60.046;-18.136
ICE1-Cer002;63.018;-28.068
ICE1-Cer003;63.018;-28.068
ICE1-Dia001;67.215;-26.207
ICE1-Dia004;67.215;-26.207
ICE1-Dia005;67.633;-26.767
ICE1-Dia006;67.639;-12.162
ICE1-Dia007;67.215;-26.207
ICE1-Dia008;67.633;-26.767
ICE1-Dia009;67.639;-12.162
ICE1-Dia010;67.86;-23.696
ICE1-Dia011;60.046;-18.136
ICE1-Dia012;60.046;-18.136
ICE1-Dia013;67.86;-23.696
ICE1-Dia014;67.075;-13.064
ICE1-Dia016;67.86;-23.696
ICE1-Dia017;66.293;-12.347
ICE1-Dia018;67.215;-26.207
ICE1-Dia019;67.075;-13.064
ICE1-Dia024;60.046;-18.136
ICE1-Dia025;60.046;-18.136
ICE1-Lam001;60.046;-18.136
ICE1-Lam002;60.046;-18.136
ICE1-Lam004;67.633;-26.767
ICE1-Lam005;63.018;-28.068
ICE1-Lam008;60.046;-18.136
ICE1-Lam009;60.046;-18.136
ICE1-Lam011;60.046;-18.136
ICE1-Lam015;63.018;-28.068
ICE1-Lam016;63.018;-28.068
ICE1-Lam017;60.046;-18.136
ICE1-Lam018;67.215;-26.207
ICE1-Leu002;67.633;-26.767
ICE1-Leu003;67.86;-23.696
ICE1-Leu006;67.86;-23.696
ICE1-Leu007;67.633;-26.767
ICE1-Leu008;67.633;-26.767
ICE1-Leu010;66.293;-12.347
ICE1-Leu018;67.215;-26.207
ICE1-Leu019;67.215;-26.207
ICE1-Nann002;67.633;-26.767
ICE1-Nann004;67.633;-26.767
ICE1-Nann006;67.633;-26.767
ICE1-Nann008;63.018;-28.068
ICE1-Nann013;61.654;-31.356
ICE1-Nann014;61.654;-31.356
ICE1-Bod002;60.046;-18.136
ICE1-Cer001;61.654;-31.356
ICE1-Dia002;67.633;-26.767
ICE1-Dia003;67.639;-12.162
ICE1-Dia015;67.633;-26.767
ICE1-Lam003;67.633;-26.767
ICE1-Lam006;60.046;-18.136
ICE1-Lam010;60.046;-18.136
ICE1-Lam013;63.018;-28.068
ICE1-Leu001;67.633;-26.767
ICE1-Leu004;67.633;-26.767
ICE1-Leu005;67.633;-26.767
ICE1-Leu009;67.86;-23.696
ICE1-Nann005;63.018;-28.068
