specimen_id,longitude,latitude,caffeine_percent
ICE1-Bod001,-18.136,60.046,0
ICE1-Bod003,-28.068,63.018,0
ICE1-Bod004,-18.136,60.046,0
ICE1-Cer002,-28.068,63.018,0
ICE1-Cer003,-28.068,63.018,0
ICE1-Dia001,-26.207,67.215,0
ICE1-Dia004,-26.207,67.215,0
ICE1-Dia005,-26.767,67.633,0
ICE1-Dia006,-12.162,67.639,0
ICE1-Dia007,-26.207,67.215,0
ICE1-Dia008,-26.767,67.633,0
ICE1-Dia009,-12.162,67.639,0
ICE1-Dia010,-23.696,67.86,0
ICE1-Dia011,-18.136,60.046,0
ICE1-Dia012,-18.136,60.046,0
ICE1-Dia013,-23.696,67.86,0
ICE1-Dia014,-13.064,67.075,0
ICE1-Dia016,-23.696,67.86,0
ICE1-Dia017,-12.347,66.293,0
ICE1-Dia018,-26.207,67.215,0
ICE1-Dia019,-13.064,67.075,0
ICE1-Dia024,-18.136,60.046,0
ICE1-Dia025,-18.136,60.046,0
ICE1-Lam001,-18.136,60.046,0
ICE1-Lam002,-18.136,60.046,0
ICE1-Lam004,-26.767,67.633,0
ICE1-Lam005,-28.068,63.018,0
ICE1-Lam008,-18.136,60.046,0
ICE1-Lam009,-18.136,60.046,0
ICE1-Lam011,-18.136,60.046,0
ICE1-Lam015,-28.068,63.018,0
ICE1-Lam016,-28.068,63.018,0
ICE1-Lam017,-18.136,60.046,0
ICE1-Lam018,-26.207,67.215,0
ICE1-Leu002,-26.767,67.633,0
ICE1-Leu003,-23.696,67.86,0
ICE1-Leu006,-23.696,67.86,0
ICE1-Leu007,-26.767,67.633,0
ICE1-Leu008,-26.767,67.633,0
ICE1-Leu010,-12.347,66.293,0
ICE1-Leu018,-26.207,67.215,0
ICE1-Leu019,-26.207,67.215,0
ICE1-Nann002,-26.767,67.633,0
ICE1-Nann004,-26.767,67.633,0
ICE1-Nann006,-26.767,67.633,0
ICE1-Nann008,-28.068,63.018,0
ICE1-Nann013,-31.356,61.654,0
ICE1-Nann014,-31.356,61.654,0
ICE1-Bod002,-18.136,60.046,0
ICE1-Cer001,-31.356,61.654,0
ICE1-Dia002,-26.767,67.633,0
ICE1-Dia003,-12.162,67.639,0
ICE1-Dia015,-26.767,67.633,0
ICE1-Lam003,-26.767,67.633,0
ICE1-Lam006,-18.136,60.046,0
ICE1-Lam010,-18.136,60.046,0
ICE1-Lam013,-28.068,63.018,0
ICE1-Leu001,-26.767,67.633,0
ICE1-Leu004,-26.767,67.633,0
ICE1-Leu005,-26.767,67.633,0
ICE1-Leu009,-23.696,67.86,0
ICE1-Nann005,-28.068,63.018,0
