NodeName,XOffset
ICE1-Bod001_Cyclaspis_longicaudata,0.27
ICE1-Bod003,-0.42
ICE1-Bod004_Bathycuma_brevirostre,0.27
ICE1-Cer002_Cimmerius_reticulatus,-0.53
ICE1-Cer003_Cimmerius_reticulatus,-0.49
ICE1-Dia001_Leptostylis_ampullacea,-0.71
ICE1-Dia004_Leptostylis_ampullacea,-0.6
ICE1-Dia005_Leptostylis_ampullacea,-0.68
ICE1-Dia006_Diastylis_polaris,-0.71
ICE1-Dia007_Leptostylis_ampullacea,-0.68
ICE1-Dia008_Leptostylis_ampullacea,-0.55
ICE1-Dia009_Diastylis_polaris,-0.67
ICE1-Dia010_Diastylis_polaris,-0.69
ICE1-Dia011_Diastyloides_atlanticus,-0.62
ICE1-Dia012,-0.61
ICE1-Dia013_Leptostylis_ampullacea,-0.53
ICE1-Dia014_Leptostylis_ampullacea,-0.7
ICE1-Dia016_Diastylis_polaris,-0.63
ICE1-Dia017_Leptostylis_borealis,-0.53
ICE1-Dia018_Leptostylis_ampullacea,-0.71
ICE1-Dia019_Diastylis_polaris,-0.69
ICE1-Dia024_Diastyloides_atlanticus,-0.62
ICE1-Dia025,-0.69
ICE1-Lam001_Hemilamprops_diversus,-0.6
ICE1-Lam002_Hemilamprops_cristatus,-0.61
ICE1-Lam004_Platysympus_typicus,-0.24
ICE1-Lam005_Hemilamprops_pterini,-0.62
ICE1-Lam008_Hemilamprops_cristatus,-0.52
ICE1-Lam009_Chalarostylis_elegans,-0.39
ICE1-Lam011_Hemilamprops_diversus,-0.6
ICE1-Lam015,-0.54
ICE1-Lam016_Platysympus_typicus,-0.2
ICE1-Lam017_Chalarostylis_elegans,-0.5
ICE1-Lam018_Hemilamprops_cristatus,-0.61
ICE1-Leu002_Leucon_pallidus,-0.71
ICE1-Leu003_Leucon_pallidus,-0.68
ICE1-Leu006_Leucon_pallidus,-0.68
ICE1-Leu007_Leucon_profundus,-0.45
ICE1-Leu008_Leucon_pallidus,-0.5
ICE1-Leu010_Leucon_pallidus,-0.61
ICE1-Leu018_Leucon_spinulosus,-0.21
ICE1-Leu019_Leucon_pallidus,-0.51
ICE1-Nann002_Campylaspis_sulcata,-0.37
ICE1-Nann004_Campylaspis_sulcata,-0.49
ICE1-Nann006_Campylaspis_sulcata,-0.38
ICE1-Nann008_Styloptocuma_gracillimum,-0.36
ICE1-Nann013_Campylaspis_horrida,-0.54
ICE1-Nann014_Campylaspis_globosa,-0.47
ICE1-Bod002_Cyclaspis_longicaudata,0.27
ICE1-Cer001_Cimmerius_reticulatus,-0.51
ICE1-Dia002_Leptostylis_ampullacea,-0.68
ICE1-Dia003_Diastylis_polaris,-0.69
ICE1-Dia015_Leptostylis_borealis,-0.63
ICE1-Lam003_Hemilamprops_uniplicatus,-0.58
ICE1-Lam006_Hemilamprops_diversus,-0.52
ICE1-Lam010_Hemilamprops_diversus,-0.6
ICE1-Lam013_Hemilamprops_pterini,-0.62
ICE1-Leu001_Leucon_profundus,-0.23
ICE1-Leu004_Leucon_profundus,-0.23
ICE1-Leu005_Leucon_pallidus,-0.56
ICE1-Leu009_Leucon_pallidus,-0.62
ICE1-Nann005,-0.54
