specimen_id,source_crs,longitude,latitude,mada_geom_point,sampled_layers,nodata_layers,is_categorical_encoded,env_71_alt_Altitude (meters),env_72_slo_Slope (degrees),env_73_asp_Aspect; clockwise from North (degrees),"env_74_solrad_Solar radiation; computed from altitude, slope and aspect (Wh.m-2.day-1)","env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",env_79_forcov_Percentage of forest cover in 1 km by 1 km grid cells (%)
toshii_1,4326,46.891944,-22.473333,POINT (694658.5627333813 7513551.374062283),9,0,False,653.0,3.0,297.0,7619.0,10.0,9.0,4.0,17.0,0.0
humbertii_4,4326,43.7975,-22.875,POINT (376646.4194813568 7469814.360957881),9,0,False,477.0,11.0,346.0,7929.0,5.0,15.0,12.0,6.0,68.0
boinensis_9,4326,46.801111,-16.319444,POINT (692421.416084501 8194878.942872111),9,0,False,217.0,3.0,358.0,7885.0,6.0,16.0,5.0,20.0,99.0
bissetiae_18,4326,46.805278,-16.328889,POINT (692857.4620243979 8193829.778816624),9,0,False,190.0,13.0,152.0,7199.0,6.0,16.0,5.0,20.0,96.0
bissetiae_20,4326,46.432222,-15.588889,POINT (653558.8554503244 8276022.724140697),9,0,False,25.0,4.0,67.0,7814.0,1.0,16.0,5.0,9.0,29.0
bissetiae_32,4326,46.801111,-16.319444,POINT (692421.416084501 8194878.942872111),9,0,False,217.0,3.0,358.0,7885.0,6.0,16.0,5.0,20.0,99.0
commersoniana_42,4326,46.887778,-25.055833,POINT (690431.2062920356 7227541.00895831),9,0,False,12.0,1.0,252.0,7224.0,1.0,21.0,14.0,5.0,65.0
commersoniana_111,4326,46.890278,-25.0525,POINT (690688.6148658374 7227906.67635831),9,0,False,12.0,1.0,252.0,7224.0,1.0,21.0,14.0,5.0,65.0
commersoniana_112,4326,47.002222,-24.953889,POINT (702145.6643889169 7238667.513710215),9,0,False,13.0,1.0,299.0,7244.0,10.0,21.0,7.0,5.0,39.0
commersoniana_113,4326,46.993889,-24.974167,POINT (701271.133997882 7236433.674880979),9,0,False,12.0,2.0,157.0,7111.0,1.0,21.0,15.0,5.0,32.0
labatii_122,4326,44.700833,-18.689444,POINT (468454.63802279386 7933507.920613937),9,0,False,116.0,2.0,279.0,7654.0,7.0,22.0,5.0,8.0,28.0
liaudii_123,4326,48.276667,-18.866389,POINT (845293.0496427563 7910761.04833707),9,0,False,1007.0,7.0,222.0,7560.0,10.0,9.0,14.0,2.0,65.0
toshii_249,4326,48.27694,-18.85,POINT (845355.4470858532 7912576.258349738),9,0,False,1007.0,9.0,236.0,7594.0,10.0,9.0,14.0,2.0,16.0
richardii_256,4326,50.041667,-14.101389,POINT (1044838.0523195444 8435209.185751595),9,0,False,261.0,13.0,7.0,8107.0,10.0,6.0,14.0,1.0,87.0
mangoroensis_260,4326,48.469736,-18.945639,POINT (865485.2756765358 7901591.34859735),9,0,False,884.0,7.0,73.0,7871.0,10.0,9.0,16.0,2.0,0.0
perrieri_261,4326,46.333889,-24.560833,POINT (635084.8917711123 7283025.482374048),9,0,False,253.0,1.0,247.0,7366.0,10.0,18.0,7.0,6.0,0.0
perrieri_262,4326,46.333889,-24.560833,POINT (635084.8917711123 7283025.482374048),9,0,False,253.0,1.0,247.0,7366.0,10.0,18.0,7.0,6.0,0.0
perrieri_263,4326,46.333889,-24.560833,POINT (635084.8917711123 7283025.482374048),9,0,False,253.0,1.0,247.0,7366.0,10.0,18.0,7.0,6.0,0.0
resinosa_264,4326,47.701944,-23.175278,POINT (776611.7866381853 7434508.718005167),9,0,False,12.0,0.0,174.0,7360.0,9.0,12.0,15.0,4.0,7.0
tricalysioides_265,4326,48.964722,-14.203611,POINT (928076.3522357162 8426116.767656187),9,0,False,1350.0,15.0,122.0,7633.0,10.0,9.0,14.0,21.0,100.0
tricalysioides_266,4326,48.964722,-14.203611,POINT (928076.3522357162 8426116.767656187),9,0,False,1350.0,15.0,122.0,7633.0,10.0,9.0,14.0,21.0,100.0
tricalysioides_267,4326,48.980556,-14.126389,POINT (929934.1532845686 8434646.373545473),9,0,False,2156.0,8.0,304.0,8382.0,10.0,9.0,14.0,22.0,100.0
resinosa_268,4326,47.701944,-23.175278,POINT (776611.7866381853 7434508.718005167),9,0,False,12.0,0.0,174.0,7360.0,9.0,12.0,15.0,4.0,7.0
resinosa_269,4326,47.757778,-23.083889,POINT (782522.4195798635 7444526.464216628),9,1,False,10.0,1.0,231.0,7330.0,9.0,,15.0,4.0,42.0
humbertii_270,4326,43.610638,-23.078725,POINT (357689.0386163351 7447088.901125943),9,1,False,28.0,2.0,259.0,7354.0,,15.0,11.0,6.0,98.0
