specimen_id,source_crs,longitude,latitude,mada_geom_point,sampled_layers,nodata_layers,is_categorical_encoded,env_71_alt_Altitude (meters),env_72_slo_Slope (degrees),env_73_asp_Aspect; clockwise from North (degrees),"env_74_solrad_Solar radiation; computed from altitude, slope and aspect (Wh.m-2.day-1)","env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",env_79_forcov_Percentage of forest cover in 1 km by 1 km grid cells (%)
humbertii_4,4326,43.7975,-22.875,POINT (376646.4194813568 7469814.360957881),9,0,False,477.0,11.0,346.0,7929.0,5.0,15.0,12,6.0,68.0
perrieri_261,4326,46.333889,-24.560833,POINT (635084.8917711123 7283025.482374048),9,0,False,253.0,1.0,247.0,7366.0,10.0,18.0,7,6.0,0.0
perrieri_262,4326,46.333889,-24.560833,POINT (635084.8917711123 7283025.482374048),9,0,False,253.0,1.0,247.0,7366.0,10.0,18.0,7,6.0,0.0
perrieri_263,4326,46.333889,-24.560833,POINT (635084.8917711123 7283025.482374048),9,0,False,253.0,1.0,247.0,7366.0,10.0,18.0,7,6.0,0.0
resinosa_264,4326,47.701944,-23.175278,POINT (776611.7866381853 7434508.718005167),9,0,False,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0
resinosa_268,4326,47.701944,-23.175278,POINT (776611.7866381853 7434508.718005167),9,0,False,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0
resinosa_269,4326,47.757778,-23.083889,POINT (782522.4195798635 7444526.464216628),9,1,False,10.0,1.0,231.0,7330.0,9.0,,15,4.0,42.0
humbertii_270,4326,43.610638,-23.078725,POINT (357689.0386163351 7447088.901125943),9,1,False,28.0,2.0,259.0,7354.0,,15.0,11,6.0,98.0
perrieri_280,4326,45.993359,-17.044592,POINT (605715.7257931107 8115243.328301542),9,0,False,144.0,11.0,129.0,7456.0,7.0,20.0,5,8.0,54.0
tsirananae_283,4326,49.353056,-12.373611,POINT (973623.8445715362 8628271.765814653),9,0,False,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0
perrieri_313,4326,44.272222,-22.853611,POINT (425334.6020387369 7472501.129658243),9,0,False,417.0,2.0,118.0,7415.0,7.0,16.0,4,6.0,24.0
abbayesii_315,4326,47.166111,-24.796389,POINT (718974.5237810896 7255860.966205925),9,0,False,0.0,0.0,246.0,7250.0,2.0,21.0,6,5.0,18.0
