,specimen_id,longitude,latitude
1, toshii_1,46.891944,-22.473333
4, humbertii_4,43.7975,-22.875
9, boinensis_9,46.801111,-16.319444
18, bissetiae_18,46.805278,-16.328889
20, bissetiae_20,46.432222,-15.588889
32, bissetiae_32,46.801111,-16.319444
42, commersoniana_42,46.887778,-25.055833
111, commersoniana_111,46.890278,-25.0525
112, commersoniana_112,47.002222,-24.953889
113, commersoniana_113,46.993889,-24.974167
122, labatii_122,44.700833,-18.689444
123, liaudii_123,48.276667,-18.866389
249, toshii A.P.Davis & Rakotonas._249,48.27694,-18.85
256, richardii J.-F. Leroy_256,50.041667,-14.101389
260, mangoroensis_260,48.469736,-18.945639
261, perrieri Drake ex Jum. & H. Perrier_261,46.333889,-24.560833
262, perrieri Drake ex Jum. & H. Perrier_262,46.333889,-24.560833
263, perrieri Drake ex Jum. & H. Perrier_263,46.333889,-24.560833
264, resinosa (Hook. f.) Radlk._264,47.701944,-23.175278
265, tricalysioides_265,48.964722,-14.203611
266, tricalysioides_266,48.964722,-14.203611
267, tricalysioides_267,48.980556,-14.126389
268, resinosa_268,47.701944,-23.175278
269, resinosa_269,47.757778,-23.083889
270, humbertii_270,43.610638,-23.078725
271, buxifolia A.Chev._271,47.004722,-20.089166
272, mcphersonii A.P.Davis & Rakotonas._272,49.7,-13.183333
273, tricalysioides J.-F.Leroy_273,47.703333,-20.308333
274, richardii J.-F.Leroy_274,50.0,-14.1
275, buxifolia_275,47.1925,-20.657222
276, grevei_276,43.572825,-23.04437
277, mangoroensis Portères_277,48.80306,-18.40139
278, resinosa (Hook.f.) Radlk._278,,
279, rakotonasoloi A.P.Davis_279,,
280, perrieri_280,45.993359,-17.044592
281, resinosa (Hook.f.) Radlk._281,,
282, arabica L._282,,
283, tsirananae_283,49.353056,-12.373611
284, mangoroensis_284,48.305833,-18.872222
295, mangoroensis Portères_295,48.158056,-19.047778
296, mangoroensis Portères_296,48.42111,-18.93778
297, mangoroensis Portères_297,48.80306,-18.40139
299, mangoroensis Portères_299,,
300, mangoroensis Portères_300,,
301, mangoroensis Portères_301,48.41917,-18.93722
302, mangoroensis Portères_302,,
303, liaudii J.-F.Leroy ex A.P.Davis_303,48.27139,-18.85944
304, mangoroensis Portères_304,,
305, liaudii J.-F.Leroy ex A.P.Davis_305,,
306, mangoroensis Portères_306,48.42833,-18.95056
307, mangoroensis Portères_307,,
308, mangoroensis Portères_308,48.29056,-18.85
310, arabica_310,48.253404,-13.825989
311, mangoroensis_311,48.380066,-19.189873
312, coursiana J.-F. Leroy_312,48.553056,-19.164722
313, perrieri Drake ex Jum. & H. Perrier_313,44.272222,-22.853611
314, bissetiae_314,47.590008,-15.407416
315, abbayesii J.-F. Leroy_315,47.166111,-24.796389
316, abbayesii J.-F. Leroy_316,47.136111,-24.842778
317, bissetiae_317,47.504282,-15.403732
318, bissetiae_318,47.549289,-15.487327
324, pervilleana (Baill.) Drake_324,44.28417,-17.54361
325, pervilleana (Baill.) Drake_325,44.30139,-18.01528
326, boiviniana (Baill.) Drake_326,44.27417,-18.00056
330, moratii J.-F.Leroy ex A.P.Davis & Rakotonas._330,44.31583,-18.03361
333, perrieri Drake ex Jum. & H.Perrier_333,,
344, pervilleana (Baill.) Drake_344,44.31583,-18.03361
345, tetragona Jum. & H.Perrier_345,44.32444,-18.03583
346, tetragona Jum. & H.Perrier_346,44.31583,-18.03361
349, pervilleana (Baill.) Drake_349,44.31583,-18.03361
359, kianjavatensis J.-F.Leroy_359,47.85861,-21.38028
395, boiviniana (Baill.) Drake_395,44.27417,-18.00056
421, moratii J.-F.Leroy ex A.P.Davis & Rakotonas._421,44.32444,-18.03583
445, boiviniana (Baill.) Drake_445,44.27417,-18.00056
463, perrieri_463,46.015711,-17.117819
492, perrieri_492,46.015693,-17.117573
493, pervilleana_493,45.920397,-17.077081
494, pervilleana_494,45.923007,-17.07882
495, tricalysioides J.-F.Leroy_495,,
496, humbertii J.-F. Leroy_496,44.583333,-22.916667
497, buxifolia A. Chev._497,47.25,-21.25
