specimen_id,longitude,latitude
humbertii_4,43.7975,-22.875
boinensis_9,46.801111,-16.319444
bissetiae_18,46.805278,-16.328889
bissetiae_20,46.432222,-15.588889
bissetiae_32,46.801111,-16.319444
labatii_122,44.700833,-18.689444
liaudii_123,48.276667,-18.866389
richardii_256,50.041667,-14.101389
perrieri_261,46.333889,-24.560833
perrieri_262,46.333889,-24.560833
perrieri_263,46.333889,-24.560833
resinosa_264,47.701944,-23.175278
resinosa_268,47.701944,-23.175278
resinosa_269,47.757778,-23.083889
humbertii_270,43.610638,-23.078725
mcphersonii_272,49.7,-13.183333
richardii_274,50.0,-14.1
perrieri_280,45.993359,-17.044592
tsirananae_283,49.353056,-12.373611
liaudii_303,48.27139,-18.85944
perrieri_313,44.272222,-22.853611
bissetiae_314,47.590008,-15.407416
abbayesii_315,47.166111,-24.796389
abbayesii_316,47.136111,-24.842778
bissetiae_317,47.504282,-15.403732
bissetiae_318,47.549289,-15.487327
pervilleana_324,44.28417,-17.54361
pervilleana_325,44.30139,-18.01528
boiviniana_326,44.27417,-18.00056
pervilleana_344,44.31583,-18.03361
tetragona_345,44.32444,-18.03583
tetragona_346,44.31583,-18.03361
pervilleana_349,44.31583,-18.03361
kianjavatensis_359,47.85861,-21.38028
boiviniana_395,44.27417,-18.00056
boiviniana_445,44.27417,-18.00056
perrieri_463,46.015711,-17.117819
perrieri_492,46.015693,-17.117573
pervilleana_493,45.920397,-17.077081
pervilleana_494,45.923007,-17.07882
humbertii_496,44.583333,-22.916667
boiviniana_500,49.353747,-12.336711
humbertii_502,43.625805,-23.250722
humbertii_503,43.625805,-23.250722
humbertii_504,44.690055,-22.888583
humbertii_506,44.1366,-23.5318
humbertii_507,44.1366,-23.5318
perrieri_509,44.272222,-22.853611
ratsimamangae_510,49.355,-12.343889
millotii_514,49.786667,-16.4525
tsirananae_517,49.35305,-12.37361
millotii_519,48.556111,-19.158611
leroyi_520,49.28583,-14.33666
dubardii_522,49.1725,-12.487778
dubardii_523,49.218333,-12.578889
perrieri_524,44.561944,-18.111389
richardii_526,49.308889,-17.956667
liaudii_527,48.271945,-18.860556
millotii_530,48.31888,-18.86944
millotii_532,48.2925,-18.86611
heimii_533,49.35305,-12.37361
leroyi_535,49.301389,-14.325556
resinosa_536,47.700278,-23.178611
boiviniana_537,49.554167,-13.208889
resinosa_546,49.70611,-16.76055
resinosa_550,47.724167,-23.170278
millotii_556,49.861111,-14.401111
perrieri_557,44.272222,-22.853611
perrieri_558,44.263056,-22.845833
leroyi_559,50.074722,-14.186667
leroyi_561,48.76777,-17.50694
resinosa_565,49.256667,-18.565556
resinosa_566,49.23388,-18.595
tsirananae_567,49.35305,-12.37361
resinosa_569,49.405833,-17.688889
bissetiae_570,45.8,-16.05
richardii_571,49.45833,-17.70305
humbertii_572,43.625806,-23.250722
richardii_575,50.016389,-14.101111
tsirananae_579,49.218611,-12.165556
tetragona_580,48.80222,-13.79638
tsirananae_582,49.218611,-12.165556
richardii_586,49.318056,-17.913889
richardii_587,49.21,-18.006389
richardii_588,49.459444,-17.705556
dubardii_593,49.174722,-12.482778
abbayesii_595,46.45,-24.36666
homollei_596,48.73111,-17.50388
richardii_597,49.340278,-18.057222
resinosa_598,48.554167,-20.3725
sakarahae_599,44.136667,-22.683333
richardii_601,49.2425,-18.040833
perrieri_602,44.145556,-22.707778
pervilleana_609,44.561389,-18.117778
perrieri_610,44.472222,-17.939722
boiviniana_611,49.2875,-12.899444
dubardii_613,49.218333,-12.578889
bissetiae_618,46.81,-16.33
perrieri_620,44.561944,-18.111389
richardii_626,49.308889,-17.956667
richardii_627,50.0,-14.1
heimii_629,49.583333,-12.970278
richardii_630,49.25666,-18.56555
sakarahae_632,44.150278,-22.704444
sakarahae_633,44.158889,-22.687222
bonnieri_638,48.08,-13.75
boiviniana_641,45.341667,-16.461111
humbertii_644,43.625806,-23.250722
bonnieri_648,48.08,-13.75
boiviniana_652,49.544444,-12.673611
richardii_658,49.318056,-17.913889
sakarahae_667,45.096667,-21.095278
pervilleana_677,44.315803,-18.033509
tetragona_679,44.324308,-18.035903
perrieri_686,44.156111,-22.718056
pervilleana_691,44.301506,-18.015404
bissetiae_694,46.8,-16.32
bissetiae_695,46.8,-16.32
sakarahae_697,44.136667,-22.683333
tsirananae_698,49.3375,-12.323889
boinensis_699,46.8,-16.3
tetragona_702,44.507222,-18.047778
heimii_704,49.583333,-12.970278
tetragona_705,47.99,-13.77
pervilleana_709,44.561389,-18.117778
boiviniana_712,49.2875,-12.899444
richardii_713,49.3275,-17.965278
bertrandii_714,46.674722,-25.122222
resinosa_717,48.4875,-20.73944
richardii_718,49.43333,-17.7
richardii_719,49.3275,-17.965278
perrieri_721,46.673333,-24.798889
boiviniana_722,45.341667,-16.461111
resinosa_723,47.70666,-23.1775
resinosa_725,47.70638,-23.17222
humbertii_726,46.981111,-24.884722
tetragona_729,47.99,-13.77
richardii_730,48.950556,-19.044722
bonnieri_733,48.08,-13.75
bonnieri_736,48.092222,-13.761667
liaudii_738,48.27777,-18.86777
richardii_743,50.007222,-14.100833
tsirananae_746,49.21111,-12.17833
perrieri_748,44.287778,-22.820556
richardii_749,50.03972,-14.10777
sakarahae_752,45.169167,-21.251944
millotii_754,49.45445,-17.704817
bissetiae_764,46.41,-16.71
heimii_765,49.45611,-12.58472
leroyi_767,49.31111,-14.30166
resinosa_770,47.733333,-23.166667
tsirananae_772,49.35805,-12.35083
perrieri_778,44.288056,-22.820833
resinosa_781,47.700278,-23.178611
resinosa_782,47.753611,-23.089722
jumellei_783,49.17361,-12.52388
liaudii_784,48.28388,-18.84583
resinosa_785,48.43388,-20.95027
perrieri_786,46.673333,-24.798889
bissetiae_788,45.8,-16.05
ratsimamangae_789,49.355,-12.343889
dubardii_790,49.10972,-12.90888
resinosa_791,48.48527,-20.76222
sakarahae_792,46.726945,-24.777222
boiviniana_795,49.554167,-13.208889
humbertii_797,43.714444,-23.002222
liaudii_799,48.27555,-18.86277
liaudii_802,48.271389,-18.859444
dubardii_804,44.732222,-16.931667
perrieri_807,46.109722,-24.310833
perrieri_809,46.15777,-24.33638
resinosa_811,48.482222,-20.801944
resinosa_816,48.605833,-20.359444
leroyi_822,48.72222,-17.54222
perrieri_823,44.272222,-22.853611
leroyi_824,48.72222,-17.54222
perrieri_826,44.263056,-22.845833
homollei_832,48.73111,-17.50388
leroyi_833,48.76777,-17.50694
liaudii_837,47.023333,-17.837778
perrieri_839,46.145833,-24.303611
millotii_844,49.786667,-16.4525
richardii_847,49.21,-18.006389
richardii_850,49.21,-18.006389
dubardii_854,49.174722,-12.482778
pervilleana_855,44.561389,-18.117778
perrieri_857,44.472222,-17.939722
dubardii_859,49.174722,-12.482778
richardii_864,49.318056,-17.913889
tsirananae_869,49.3375,-12.323889
boinensis_870,46.8,-16.3
bissetiae_874,46.81,-16.33
dubardii_876,49.174722,-12.482778
pervilleana_878,44.561389,-18.117778
richardii_884,49.3275,-17.965278
millotii_885,48.556111,-19.158611
dubardii_886,49.1725,-12.487778
dubardii_887,49.218333,-12.578889
perrieri_888,44.561944,-18.111389
richardii_889,49.340278,-18.057222
richardii_890,50.0,-14.1
perrieri_892,44.156111,-22.718056
perrieri_894,44.145556,-22.707778
sakarahae_897,44.158889,-22.687222
millotii_899,48.556111,-19.158611
dubardii_900,49.1725,-12.487778
dubardii_901,49.218333,-12.578889
richardii_902,50.0,-14.1
perrieri_903,44.561944,-18.111389
richardii_907,49.308889,-17.956667
tetragona_909,47.99,-13.77
heimii_914,49.583333,-12.970278
tetragona_915,47.99,-13.77
bonnieri_916,48.08,-13.75
bonnieri_918,48.08,-13.75
bonnieri_921,48.08,-13.75
jumellei_923,44.146944,-22.655278
abbayesii_924,47.136111,-24.842778
richardii_931,49.990556,-14.112778
boiviniana_944,45.341667,-16.461111
sakarahae_945,44.137222,-22.701667
abbayesii_947,47.166111,-24.796389
richardii_949,48.950556,-19.044722
richardii_956,48.950556,-19.044722
tetragona_961,44.315803,-18.033509
perrieri_966,44.324103,-18.035903
pervilleana_967,44.2843,-17.543506
pervilleana_974,44.324308,-18.035903
perrieri_975,44.287778,-22.820556
richardii_979,50.041667,-14.101389
richardii_985,49.25027,-18.55944
richardii_986,49.25611,-18.56527
liaudii_991,48.26916,-18.85722
bonnieri_995,48.092222,-13.761667
richardii_997,49.43333,-17.7
bonnieri_998,48.092222,-13.761667
liaudii_1000,48.271389,-18.859444
bonnieri_1001,48.092222,-13.761667
resinosa_1010,47.683333,-23.183333
tsirananae_1011,49.21111,-12.17833
tsirananae_1014,49.35805,-12.35083
dubardii_1018,44.749167,-16.958611
pervilleana_1020,49.36583,-12.37888
heimii_1022,49.35305,-12.37361
pervilleana_1023,49.36583,-12.37888
bissetiae_1024,46.41,-16.71
heimii_1025,49.45611,-12.58472
liaudii_1026,48.28388,-18.84583
homollei_1028,48.731111,-17.503889
sakarahae_1029,44.158889,-22.687222
humbertii_1031,43.625806,-23.250722
perrieri_1035,46.673333,-24.798889
abbayesii_1042,47.166111,-24.796389
liaudii_1044,48.271389,-18.859444
sakarahae_1045,45.096667,-21.095278
resinosa_1046,47.683333,-23.183333
tsirananae_1047,49.21111,-12.17833
humbertii_1049,46.981111,-24.884722
heimii_1050,49.45611,-12.58472
pervilleana_1053,49.36583,-12.37888
sakarahae_1054,46.726945,-24.777222
resinosa_1056,47.753611,-23.089722
liaudii_1060,48.27777,-18.86777
abbayesii_1062,47.136111,-24.842778
resinosa_1063,47.733333,-23.166667
millotii_1065,49.98194,-15.62083
liaudii_1067,48.28388,-18.84583
bertrandii_1068,46.674722,-25.122222
ratsimamangae_1069,49.355,-12.343889
jumellei_1070,49.17361,-12.52388
richardii_1072,49.45833,-17.70305
perrieri_1073,46.109722,-24.310833
perrieri_1075,46.15777,-24.33638
perrieri_1079,45.365556,-21.188611
liaudii_1080,47.023333,-17.837778
dubardii_1084,49.133333,-12.566667
bissetiae_1088,45.8,-16.05
perrieri_1091,44.263056,-22.845833
abbayesii_1093,46.45,-24.36666
resinosa_1094,48.554167,-20.3725
perrieri_1095,44.156111,-22.718056
perrieri_1096,46.145833,-24.303611
richardii_1097,50.0,-14.1
tetragona_1098,47.99,-13.77
leroyi_1099,48.76777,-17.50694
richardii_1100,49.459444,-17.705556
richardii_1101,49.2425,-18.040833
leroyi_1102,48.72222,-17.54222
tetragona_1104,44.507222,-18.047778
resinosa_1105,47.701944,-23.175278
sakarahae_1107,44.150278,-22.704444
richardii_1110,48.950556,-19.044722
bonnieri_1115,48.08,-13.75
richardii_1119,49.990556,-14.112778
perrieri_1123,44.145556,-22.707778
leroyi_1126,50.074722,-14.186667
perrieri_1130,44.288056,-22.820833
dubardii_1132,44.749167,-16.958611
richardii_1134,49.21,-18.006389
richardii_1137,49.318056,-17.913889
dubardii_1138,49.174722,-12.482778
perrieri_1140,44.287778,-22.820556
dubardii_1142,49.1725,-12.487778
dubardii_1143,49.218333,-12.578889
richardii_1146,49.308889,-17.956667
richardii_1147,49.340278,-18.057222
sakarahae_1148,44.154167,-22.705833
pervilleana_1149,44.561389,-18.117778
perrieri_1150,44.561944,-18.111389
sakarahae_1153,44.137222,-22.701667
richardii_1159,50.007222,-14.100833
boiviniana_1166,45.341667,-16.461111
abbayesii_1172,47.136667,-24.835833
tsirananae_1173,49.35305,-12.37361
jumellei_1174,44.146944,-22.655278
sakarahae_1175,45.169167,-21.251944
