specimen_id,longitude,latitude
humbertii_4,43.7975,-22.875
perrieri_261,46.333889,-24.560833
perrieri_262,46.333889,-24.560833
perrieri_263,46.333889,-24.560833
resinosa_264,47.701944,-23.175278
resinosa_268,47.701944,-23.175278
resinosa_269,47.757778,-23.083889
humbertii_270,43.610638,-23.078725
perrieri_280,45.993359,-17.044592
tsirananae_283,49.353056,-12.373611
perrieri_313,44.272222,-22.853611
abbayesii_315,47.166111,-24.796389
abbayesii_316,47.136111,-24.842778
pervilleana_324,44.28417,-17.54361
pervilleana_325,44.30139,-18.01528
pervilleana_344,44.31583,-18.03361
pervilleana_349,44.31583,-18.03361
perrieri_463,46.015711,-17.117819
perrieri_492,46.015693,-17.117573
pervilleana_493,45.920397,-17.077081
pervilleana_494,45.923007,-17.07882
humbertii_496,44.583333,-22.916667
humbertii_502,43.625805,-23.250722
humbertii_503,43.625805,-23.250722
humbertii_504,44.690055,-22.888583
humbertii_506,44.1366,-23.5318
humbertii_507,44.1366,-23.5318
perrieri_509,44.272222,-22.853611
millotii_514,49.786667,-16.4525
tsirananae_517,49.35305,-12.37361
millotii_519,48.556111,-19.158611
dubardii_522,49.1725,-12.487778
dubardii_523,49.218333,-12.578889
perrieri_524,44.561944,-18.111389
millotii_530,48.31888,-18.86944
millotii_532,48.2925,-18.86611
heimii_533,49.35305,-12.37361
resinosa_536,47.700278,-23.178611
resinosa_546,49.70611,-16.76055
resinosa_550,47.724167,-23.170278
millotii_556,49.861111,-14.401111
perrieri_557,44.272222,-22.853611
perrieri_558,44.263056,-22.845833
resinosa_565,49.256667,-18.565556
resinosa_566,49.23388,-18.595
tsirananae_567,49.35305,-12.37361
resinosa_569,49.405833,-17.688889
humbertii_572,43.625806,-23.250722
tsirananae_579,49.218611,-12.165556
tsirananae_582,49.218611,-12.165556
dubardii_593,49.174722,-12.482778
abbayesii_595,46.45,-24.36666
resinosa_598,48.554167,-20.3725
perrieri_602,44.145556,-22.707778
pervilleana_609,44.561389,-18.117778
perrieri_610,44.472222,-17.939722
dubardii_613,49.218333,-12.578889
perrieri_620,44.561944,-18.111389
heimii_629,49.583333,-12.970278
humbertii_644,43.625806,-23.250722
pervilleana_677,44.315803,-18.033509
perrieri_686,44.156111,-22.718056
pervilleana_691,44.301506,-18.015404
tsirananae_698,49.3375,-12.323889
heimii_704,49.583333,-12.970278
pervilleana_709,44.561389,-18.117778
bertrandii_714,46.674722,-25.122222
resinosa_717,48.4875,-20.73944
perrieri_721,46.673333,-24.798889
resinosa_723,47.70666,-23.1775
resinosa_725,47.70638,-23.17222
humbertii_726,46.981111,-24.884722
tsirananae_746,49.21111,-12.17833
perrieri_748,44.287778,-22.820556
millotii_754,49.45445,-17.704817
heimii_765,49.45611,-12.58472
resinosa_770,47.733333,-23.166667
tsirananae_772,49.35805,-12.35083
perrieri_778,44.288056,-22.820833
resinosa_781,47.700278,-23.178611
resinosa_782,47.753611,-23.089722
resinosa_785,48.43388,-20.95027
perrieri_786,46.673333,-24.798889
dubardii_790,49.10972,-12.90888
resinosa_791,48.48527,-20.76222
humbertii_797,43.714444,-23.002222
dubardii_804,44.732222,-16.931667
perrieri_807,46.109722,-24.310833
perrieri_809,46.15777,-24.33638
resinosa_811,48.482222,-20.801944
resinosa_816,48.605833,-20.359444
perrieri_823,44.272222,-22.853611
perrieri_826,44.263056,-22.845833
perrieri_839,46.145833,-24.303611
millotii_844,49.786667,-16.4525
dubardii_854,49.174722,-12.482778
pervilleana_855,44.561389,-18.117778
perrieri_857,44.472222,-17.939722
dubardii_859,49.174722,-12.482778
tsirananae_869,49.3375,-12.323889
dubardii_876,49.174722,-12.482778
pervilleana_878,44.561389,-18.117778
millotii_885,48.556111,-19.158611
dubardii_886,49.1725,-12.487778
dubardii_887,49.218333,-12.578889
perrieri_888,44.561944,-18.111389
perrieri_892,44.156111,-22.718056
perrieri_894,44.145556,-22.707778
millotii_899,48.556111,-19.158611
dubardii_900,49.1725,-12.487778
dubardii_901,49.218333,-12.578889
perrieri_903,44.561944,-18.111389
heimii_914,49.583333,-12.970278
abbayesii_924,47.136111,-24.842778
abbayesii_947,47.166111,-24.796389
perrieri_966,44.324103,-18.035903
pervilleana_967,44.2843,-17.543506
pervilleana_974,44.324308,-18.035903
perrieri_975,44.287778,-22.820556
resinosa_1010,47.683333,-23.183333
tsirananae_1011,49.21111,-12.17833
tsirananae_1014,49.35805,-12.35083
dubardii_1018,44.749167,-16.958611
pervilleana_1020,49.36583,-12.37888
heimii_1022,49.35305,-12.37361
pervilleana_1023,49.36583,-12.37888
heimii_1025,49.45611,-12.58472
humbertii_1031,43.625806,-23.250722
perrieri_1035,46.673333,-24.798889
abbayesii_1042,47.166111,-24.796389
resinosa_1046,47.683333,-23.183333
tsirananae_1047,49.21111,-12.17833
humbertii_1049,46.981111,-24.884722
heimii_1050,49.45611,-12.58472
pervilleana_1053,49.36583,-12.37888
resinosa_1056,47.753611,-23.089722
abbayesii_1062,47.136111,-24.842778
resinosa_1063,47.733333,-23.166667
millotii_1065,49.98194,-15.62083
bertrandii_1068,46.674722,-25.122222
perrieri_1073,46.109722,-24.310833
perrieri_1075,46.15777,-24.33638
perrieri_1079,45.365556,-21.188611
dubardii_1084,49.133333,-12.566667
perrieri_1091,44.263056,-22.845833
abbayesii_1093,46.45,-24.36666
resinosa_1094,48.554167,-20.3725
perrieri_1095,44.156111,-22.718056
perrieri_1096,46.145833,-24.303611
resinosa_1105,47.701944,-23.175278
perrieri_1123,44.145556,-22.707778
perrieri_1130,44.288056,-22.820833
dubardii_1132,44.749167,-16.958611
dubardii_1138,49.174722,-12.482778
perrieri_1140,44.287778,-22.820556
dubardii_1142,49.1725,-12.487778
dubardii_1143,49.218333,-12.578889
pervilleana_1149,44.561389,-18.117778
perrieri_1150,44.561944,-18.111389
abbayesii_1172,47.136667,-24.835833
tsirananae_1173,49.35305,-12.37361
millotii_1178,49.861111,-14.401111
resinosa_1180,47.700278,-23.178611
tsirananae_1183,49.218611,-12.165556
millotii_1184,48.2925,-18.86611
tsirananae_1210,49.35805,-12.35083
dubardii_1211,44.732222,-16.931667
heimii_1219,49.35305,-12.37361
dubardii_1221,49.10972,-12.90888
humbertii_1222,43.714444,-23.002222
millotii_1229,48.31888,-18.86944
resinosa_1237,48.482222,-20.801944
resinosa_1238,47.724167,-23.170278
resinosa_1239,48.605833,-20.359444
resinosa_1243,49.256667,-18.565556
resinosa_1245,49.23388,-18.595
resinosa_1247,49.70611,-16.76055
resinosa_1248,49.70972,-16.76111
millotii_1274,49.786667,-16.4525
resinosa_1275,49.405833,-17.688889
millotii_1279,49.198056,-18.036111
millotii_1290,48.556111,-19.158611
resinosa_1293,49.678333,-16.765833
heimii_1294,49.583333,-12.970278
perrieri_1298,46.109722,-24.310833
perrieri_1299,46.145833,-24.303611
perrieri_1300,45.365556,-21.188611
millotii_1301,49.786667,-16.4525
humbertii_1303,43.625806,-23.250722
perrieri_1307,45.989986,-17.052635
perrieri_1311,45.985053,-17.067958
dubardii_1316,49.16667,-12.95
dubardii_1317,49.16667,-12.95
tsirananae_1321,49.371244,-12.226533
heimii_1322,49.263119,-12.279828
tsirananae_1328,47.863972,-21.382389
resinosa_1338,49.681278,-16.867389
perrieri_1349,47.863972,-21.382389
heimii_1372,47.863972,-21.382389
dubardii_1383,47.863972,-21.382389
arenesiana_1389,47.863972,-21.382389
resinosa_1434,48.605833,-20.359444
resinosa_1435,47.727056,-23.013667
resinosa_1442,48.482222,-20.801944
resinosa_1443,49.234,-18.595139
