,env_71_alt,env_72_slo,env_73_asp,env_74_solrad,env_75_geo,env_76_soi,env_77_veg,env_78_wat,env_79_forcov,caffeine_class
0,477.0,11.0,346.0,7929.0,5.0,15.0,12,6.0,68.0,Absent
1,261.0,13.0,7.0,8107.0,10.0,6.0,14,1.0,87.0,Low
2,253.0,1.0,247.0,7366.0,10.0,18.0,7,6.0,0.0,Absent
3,253.0,1.0,247.0,7366.0,10.0,18.0,7,6.0,0.0,Absent
4,253.0,1.0,247.0,7366.0,10.0,18.0,7,6.0,0.0,Absent
5,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0,Absent
6,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0,Absent
9,69.0,5.0,240.0,7673.0,10.0,10.0,16,1.0,22.0,Low
10,144.0,11.0,129.0,7456.0,7.0,20.0,5,8.0,54.0,Absent
11,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0,Absent
12,417.0,2.0,118.0,7415.0,7.0,16.0,4,6.0,24.0,Absent
13,0.0,0.0,246.0,7250.0,2.0,21.0,6,5.0,18.0,Absent
15,91.0,2.0,65.0,7729.0,9.0,18.0,7,8.0,27.0,Absent
16,71.0,5.0,143.0,7600.0,9.0,18.0,6,8.0,0.0,Absent
17,86.0,3.0,355.0,7783.0,9.0,18.0,6,8.0,0.0,Absent
18,98.0,2.0,223.0,7656.0,9.0,18.0,6,8.0,0.0,Low
19,86.0,3.0,355.0,7783.0,9.0,18.0,6,8.0,0.0,Low
20,86.0,3.0,355.0,7783.0,9.0,18.0,6,8.0,0.0,Absent
21,60.0,8.0,297.0,7501.0,10.0,11.0,16,3.0,0.0,High
22,137.0,2.0,39.0,7796.0,7.0,6.0,4,8.0,17.0,Absent
23,137.0,2.0,39.0,7796.0,7.0,6.0,4,8.0,17.0,Absent
24,274.0,3.0,146.0,7699.0,7.0,20.0,5,8.0,36.0,Absent
25,249.0,3.0,238.0,7755.0,7.0,20.0,7,8.0,44.0,Absent
26,613.0,3.0,303.0,7623.0,6.0,16.0,6,6.0,0.0,Absent
29,788.0,4.0,123.0,7463.0,6.0,16.0,22,6.0,100.0,Absent
30,94.0,5.0,354.0,7585.0,1.0,15.0,12,6.0,74.0,Absent
31,94.0,5.0,354.0,7585.0,1.0,15.0,12,6.0,74.0,Absent
32,417.0,2.0,118.0,7415.0,7.0,16.0,4,6.0,24.0,Absent
33,291.0,4.0,62.0,7830.0,10.0,11.0,14,2.0,96.0,Absent
34,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0,Absent
35,640.0,18.0,106.0,7313.0,10.0,11.0,14,2.0,37.0,Absent
36,1084.0,15.0,332.0,8277.0,10.0,9.0,14,14.0,85.0,Low
37,751.0,14.0,262.0,7917.0,9.0,8.0,14,12.0,100.0,Absent
38,865.0,8.0,199.0,7779.0,9.0,8.0,14,1.0,68.0,Absent
39,272.0,9.0,170.0,7307.0,7.0,6.0,5,8.0,68.0,Absent
40,98.0,2.0,10.0,7681.0,10.0,10.0,16,2.0,0.0,Low
41,1009.0,4.0,276.0,7805.0,11.0,7.0,14,2.0,66.0,Absent
42,1023.0,7.0,179.0,7592.0,10.0,9.0,14,2.0,60.0,Absent
43,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0,Absent
44,1438.0,5.0,319.0,8187.0,10.0,9.0,6,14.0,59.0,Low
45,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0,Absent
46,13.0,1.0,213.0,7688.0,1.0,21.0,16,2.0,59.0,Absent
47,46.0,8.0,263.0,7236.0,9.0,21.0,16,4.0,0.0,Absent
48,410.0,24.0,157.0,6554.0,10.0,9.0,14,14.0,100.0,Absent
49,417.0,2.0,118.0,7415.0,7.0,16.0,4,6.0,24.0,Absent
50,511.0,20.0,64.0,7633.0,9.0,18.0,7,6.0,19.0,Absent
51,165.0,12.0,351.0,8037.0,9.0,9.0,16,14.0,58.0,Low
52,900.0,0.0,290.0,7891.0,10.0,9.0,16,2.0,13.0,Low
54,14.0,1.0,234.0,7606.0,2.0,21.0,15,2.0,24.0,Absent
55,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0,Absent
56,60.0,5.0,158.0,7521.0,10.0,10.0,16,2.0,3.0,Absent
