env_71_alt,clim_21_tmax9_sep,clim_55_prec_coldest_q,clim_49_prec_wettest_m,clim_48_Annual_prec,clim_60_pet5_may,clim_43_tannual_range,clim_34_prec10_oct,clim_35_prec11_nov,clim_39_isotherm,clim_40_temp_season,clim_51_prec_season,clim_69_cwd_annual,clim_70_ndm_per_year,env_72_slo,env_73_asp,env_74_solrad,env_79_forcov,env_75_geo_1_1,env_75_geo_10,env_75_geo_9,env_75_geo_7,env_75_geo_6,env_75_geo_5,env_75_geo_11,env_75_geo_2,env_75_geo_0,env_76_soi_9,env_76_soi_7,env_76_soi_23,env_76_soi_18,env_76_soi_20,env_76_soi_11,env_76_soi_19,env_76_soi_10,env_76_soi_3,env_76_soi_15,env_76_soi_12,env_76_soi_22,env_76_soi_21,env_76_soi_6,env_76_soi_16,env_76_soi_17,env_76_soi_8,env_76_soi_4,env_76_soi_0,env_77_veg_1,env_77_veg_2,env_77_veg_3,env_77_veg_4,env_77_veg_5,env_77_veg_6,env_77_veg_7,env_77_veg_9,env_77_veg_11,env_77_veg_12,env_77_veg_13,env_77_veg_14,env_77_veg_15,env_77_veg_16,env_77_veg_22,env_77_veg_25,env_78_wat_9,env_78_wat_1,env_78_wat_10,env_78_wat_12,env_78_wat_11,env_78_wat_8,env_78_wat_2,env_78_wat_4,env_78_wat_5,env_78_wat_20,env_78_wat_3,env_78_wat_14,env_78_wat_13,env_78_wat_22,env_78_wat_17,env_78_wat_1.1,env_78_wat_18,env_78_wat_15,env_78_wat_0,caffeine_class,caffeine_percent
477.0,290.0,15.0,142.0,572.0,72.0,210.0,53.0,113.0,66.0,2712.0,106.0,559.0,11.0,11.0,346.0,7929.0,68.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
261.0,264.0,299.0,248.0,1669.0,98.0,133.0,97.0,183.0,66.0,1821.0,43.0,40.0,4.0,13.0,7.0,8107.0,87.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
253.0,299.0,61.0,150.0,749.0,68.0,219.0,80.0,143.0,66.0,3007.0,82.0,460.0,11.0,1.0,247.0,7366.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
253.0,299.0,61.0,150.0,749.0,68.0,219.0,80.0,143.0,66.0,3007.0,82.0,460.0,11.0,1.0,247.0,7366.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
253.0,299.0,61.0,150.0,749.0,68.0,219.0,80.0,143.0,66.0,3007.0,82.0,460.0,11.0,1.0,247.0,7366.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
12.0,259.0,421.0,349.0,2373.0,84.0,155.0,160.0,278.0,57.0,2458.0,45.0,0.0,0.0,0.0,174.0,7360.0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12.0,259.0,421.0,349.0,2373.0,84.0,155.0,160.0,278.0,57.0,2458.0,45.0,0.0,0.0,0.0,174.0,7360.0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10.0,257.0,428.0,337.0,2402.0,85.0,153.0,155.0,265.0,56.0,2446.0,44.0,0.0,0.0,1.0,231.0,7330.0,42.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28.0,293.0,16.0,94.0,388.0,81.0,203.0,35.0,64.0,63.0,2778.0,98.0,929.0,12.0,2.0,259.0,7354.0,98.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
69.0,267.0,295.0,253.0,1678.0,100.0,133.0,97.0,184.0,66.0,1808.0,44.0,51.0,4.0,5.0,240.0,7673.0,22.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
144.0,336.0,11.0,469.0,1567.0,123.0,182.0,127.0,253.0,69.0,1513.0,122.0,791.0,8.0,11.0,129.0,7456.0,54.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
250.0,281.0,59.0,319.0,1206.0,119.0,121.0,51.0,180.0,69.0,1293.0,110.0,607.0,8.0,14.0,331.0,8092.0,47.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
417.0,317.0,15.0,175.0,663.0,75.0,242.0,59.0,136.0,66.0,2887.0,109.0,599.0,11.0,2.0,118.0,7415.0,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
0.0,260.0,423.0,305.0,2116.0,75.0,157.0,140.0,227.0,59.0,2469.0,40.0,0.0,1.0,0.0,246.0,7250.0,18.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
5.0,259.0,415.0,295.0,2054.0,74.0,156.0,134.0,219.0,58.0,2438.0,40.0,2.0,1.0,3.0,311.0,7362.0,18.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
91.0,309.0,11.0,362.0,1231.0,102.0,158.0,72.0,201.0,67.0,1765.0,126.0,716.0,8.0,2.0,65.0,7729.0,27.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71.0,305.0,11.0,361.0,1205.0,101.0,156.0,79.0,207.0,65.0,1849.0,124.0,693.0,8.0,5.0,143.0,7600.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
86.0,305.0,11.0,361.0,1209.0,101.0,158.0,81.0,208.0,65.0,1879.0,124.0,687.0,8.0,3.0,355.0,7783.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
98.0,305.0,12.0,362.0,1217.0,100.0,158.0,82.0,210.0,65.0,1866.0,123.0,677.0,8.0,2.0,223.0,7656.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
86.0,305.0,11.0,361.0,1209.0,101.0,158.0,81.0,208.0,65.0,1879.0,124.0,687.0,8.0,3.0,355.0,7783.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
86.0,305.0,11.0,361.0,1209.0,101.0,158.0,81.0,208.0,65.0,1879.0,124.0,687.0,8.0,3.0,355.0,7783.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60.0,255.0,304.0,394.0,2248.0,75.0,157.0,172.0,225.0,60.0,2487.0,68.0,28.0,1.0,8.0,297.0,7501.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.7
137.0,338.0,12.0,475.0,1582.0,123.0,184.0,128.0,259.0,69.0,1531.0,121.0,798.0,8.0,2.0,39.0,7796.0,17.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
137.0,338.0,12.0,475.0,1582.0,123.0,184.0,128.0,259.0,69.0,1531.0,121.0,798.0,8.0,2.0,39.0,7796.0,17.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
274.0,330.0,12.0,461.0,1563.0,112.0,185.0,132.0,254.0,69.0,1548.0,119.0,688.0,8.0,3.0,146.0,7699.0,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
249.0,331.0,12.0,463.0,1565.0,114.0,185.0,131.0,255.0,69.0,1530.0,120.0,697.0,8.0,3.0,238.0,7755.0,44.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
613.0,310.0,17.0,189.0,730.0,74.0,249.0,66.0,156.0,66.0,2922.0,109.0,501.0,10.0,3.0,303.0,7623.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
6.0,289.0,18.0,84.0,352.0,81.0,200.0,32.0,55.0,62.0,2788.0,93.0,960.0,12.0,1.0,341.0,7370.0,9.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
