genus_species,longitude,latitude,year,specimen_id
Coffea mangoroensis,48.380066,-19.189873,2023,mangoroensis_0
Coffea coursiana J.-F. Leroy,48.553056,-19.164722,2019,coursiana J.-F. Leroy_1
Coffea perrieri Drake ex Jum. & H. Perrier,44.272222,-22.853611,2022,perrieri Drake ex Jum. & H. Perrier_2
Coffea bissetiae,47.590008,-15.407416,2020,bissetiae_3
Coffea abbayesii J.-F. Leroy,47.166111,-24.796389,2012,bbayesii J.-F. Leroy_4
Coffea abbayesii J.-F. Leroy,47.136111,-24.842778,2012,bbayesii J.-F. Leroy_5
Coffea bissetiae,47.504282,-15.403732,2020,bissetiae_6
Coffea bissetiae,47.549289,-15.487327,2020,bissetiae_7
Coffea perrieri,46.015711,-17.117819,2023,perrieri_8
Coffea perrieri,46.015693,-17.117573,2023,perrieri_9
Coffea pervilleana,45.920397,-17.077081,2023,pervilleana_10
Coffea pervilleana,45.923007,-17.07882,2023,pervilleana_11
Coffea boiviniana (Baill.) Drake,49.353747,-12.336711,2020,boiviniana (Baill.) Drake_12
Coffea humbertii J.-F.Leroy,44.690055,-22.888583,2018,humbertii J.-F.Leroy_13
Coffea grevei Drake ex A.Chev.,44.676033,-20.076667,2011,grevei Drake ex A.Chev._14
Coffea humbertii J.-F.Leroy,44.1366,-23.5318,2020,humbertii J.-F.Leroy_15
Coffea humbertii J.-F.Leroy,44.1366,-23.5318,2020,humbertii J.-F.Leroy_16
Coffea tricalysioides,48.964203,-14.184007,2022,tricalysioides_17
Coffea perrieri Drake ex Jum. & H. Perrier,44.272222,-22.853611,2022,perrieri Drake ex Jum. & H. Perrier_18
Coffea millotii J.-F. Leroy,49.786667,-16.4525,2015,millotii J.-F. Leroy_19
Coffea millotii J.-F. Leroy,48.556111,-19.158611,2017,millotii J.-F. Leroy_20
Coffea dubardii Jum.,49.218333,-12.578889,2012,dubardii Jum._21
Coffea perrieri Drake ex Jum. & H. Perrier,44.561944,-18.111389,2012,perrieri Drake ex Jum. & H. Perrier_22
Coffea richardii J.-F. Leroy,49.308889,-17.956667,2017,richardii J.-F. Leroy_23
Coffea millotii J.-F. Leroy,49.861111,-14.401111,2010,millotii J.-F. Leroy_24
Coffea perrieri Drake ex Jum. & H. Perrier,44.272222,-22.853611,2022,perrieri Drake ex Jum. & H. Perrier_25
Coffea perrieri Drake ex Jum. & H. Perrier,44.263056,-22.845833,2022,perrieri Drake ex Jum. & H. Perrier_26
Coffea leroyi A.P. Davis,50.074722,-14.186667,2022,leroyi A.P. Davis_27
Coffea canephora Pierre ex A. Froehner,50.133333,-14.621944,2018,canephora Pierre ex A. Froehner_28
Coffea resinosa (Hook. f.) Radlk.,49.405833,-17.688889,2019,resinosa (Hook. f.) Radlk._29
Coffea richardii J.-F. Leroy,50.016389,-14.101111,2019,richardii J.-F. Leroy_30
Coffea coursiana J.-F. Leroy,48.553056,-19.164722,2019,coursiana J.-F. Leroy_31
Coffea richardii J.-F. Leroy,49.318056,-17.913889,2018,richardii J.-F. Leroy_32
Coffea richardii J.-F. Leroy,49.21,-18.006389,2018,richardii J.-F. Leroy_33
