,specimen_id,longitude,latitude,key
5935,rabica_5935,-84.636676,10.47985,rabica
5936,rabica_5936,-156.243057,20.91153,rabica
5937,rabica_5937,-75.850023,5.613698,rabica
5938,rabica_5938,-66.419957,18.478251,rabica
5939,rabica_5939,-75.254248,2.936914,rabica
5940,rabica_5940,-96.94255,19.496856,rabica
5941,rabica_5941,-66.887734,18.174953,rabica
5942,rabica_5942,-78.901367,22.09502,rabica
5944,Psilanthus lebrunianus (Germ. & Kesler) J.-F. Leroy ex Bridson_5944,13.205836,1.085648,Psilanthus
5945,Psilanthus mannii Hook. f._5945,13.171629,1.176217,Psilanthus
5946,Psilanthus mannii Hook. f._5946,13.171629,1.176217,Psilanthus
5947,Psilanthus mannii Hook. f._5947,13.171629,1.176217,Psilanthus
5948,Psilanthus lebrunianus (Germ. & Kesler) J.-F. Leroy ex Bridson_5948,13.205836,1.085648,Psilanthus
5949,Psilanthus lebrunianus (Germ. & Kesler) J.-F. Leroy ex Bridson_5949,13.205836,1.085648,Psilanthus
5950,Psilanthus mannii Hook. f._5950,13.171629,1.176217,Psilanthus
5951,Psilanthus lebrunianus (Germ. & Kesler) J.-F. Leroy ex Bridson_5951,13.205836,1.085648,Psilanthus
5953,robusta_5953,76.79368,9.9291,robusta
5954,rabica_5954,76.73231,9.89427,rabica
5955,robusta_5955,76.79648,9.98714,robusta
5956,rabica_5956,76.68314,10.10601,rabica
5957,robusta_5957,76.60099,9.17132,robusta
5958,robusta_5958,76.6192,9.1402,robusta
5959,robusta_5959,76.60099,9.17132,robusta
5960,robusta_5960,76.60099,9.17132,robusta
5961,robusta_5961,76.60099,9.17132,robusta
5962,robusta_5962,76.79648,9.98714,robusta
5963,robusta_5963,76.78542,9.98487,robusta
5964,robusta_5964,76.60099,9.17132,robusta
5965,robusta_5965,76.60099,9.17132,robusta
5966,robusta_5966,76.60099,9.17132,robusta
5967,robusta_5967,76.60099,9.17132,robusta
5968,robusta_5968,76.79368,9.9291,robusta
5969,robusta_5969,76.79648,9.98714,robusta
5970,robusta_5970,76.77294,9.98678,robusta
5971,robusta_5971,76.77294,9.98678,robusta
5972,robusta_5972,76.78542,9.98487,robusta
5973,rabica_5973,76.60491,9.16258,rabica
5974,robusta_5974,76.60465,9.16596,robusta
5975,robusta_5975,76.78542,9.98487,robusta
5976,robusta_5976,75.42914,11.82142,robusta
5977,rabica_5977,75.62991,11.60208,rabica
5978,robusta_5978,75.59033,11.61486,robusta
5979,robusta_5979,77.07182,8.45645,robusta
5980,robusta_5980,77.07249,8.47173,robusta
5981,robusta_5981,77.07249,8.47173,robusta
5982,robusta_5982,76.17419,11.76544,robusta
5983,robusta_5983,76.6192,9.1402,robusta
5984,robusta_5984,76.68718,10.10406,robusta
5985,robusta_5985,77.04894,8.34187,robusta
5986,robusta_5986,77.07249,8.47173,robusta
5987,robusta_5987,76.6192,9.1402,robusta
5988,robusta_5988,76.79368,9.9291,robusta
5989,robusta_5989,76.79368,9.9291,robusta
5990,robusta_5990,73.81055,18.49556,robusta
5991,robusta_5991,77.07182,8.45645,robusta
5992,robusta_5992,77.07249,8.47173,robusta
5993,rabica_5993,76.9488,8.63207,rabica
5994,robusta_5994,77.07249,8.47173,robusta
5995,robusta_5995,77.07079,8.4566,robusta
