clim_70_ndm_per_year,clim_34_prec10_oct,env_79_forcov,clim_40_temp_season,env_75_geo_10,clim_69_cwd_annual,clim_39_isotherm,env_76_soi_9,env_76_soi_10,clim_60_pet5_may,env_77_veg_16,env_71_alt,env_73_asp,env_77_veg_14,env_76_soi_11,env_78_wat_3,env_78_wat_2
1.0,159.0,0.0,2480.0,0,1.0,58.0,0,0,84.0,0,9.0,228.0,0,0,0,0
0.0,153.0,28.0,2471.0,1,0.0,57.0,0,0,85.0,0,26.0,27.0,1,0,0,0
1.0,172.0,0.0,2510.0,1,26.0,60.0,0,0,75.0,1,201.0,48.0,0,1,1,0
1.0,172.0,0.0,2510.0,1,26.0,60.0,0,0,75.0,1,201.0,48.0,0,1,1,0
1.0,172.0,0.0,2493.0,1,27.0,60.0,0,0,77.0,1,78.0,11.0,0,1,1,0
1.0,172.0,0.0,2510.0,1,26.0,60.0,0,0,75.0,1,201.0,48.0,0,1,1,0
1.0,172.0,0.0,2493.0,1,27.0,60.0,0,0,77.0,1,78.0,11.0,0,1,1,0
1.0,143.0,56.0,2523.0,1,13.0,63.0,0,0,70.0,0,635.0,56.0,1,1,0,1
7.0,105.0,100.0,2486.0,1,196.0,67.0,1,0,64.0,0,1090.0,214.0,1,0,0,1
7.0,105.0,100.0,2486.0,1,196.0,67.0,1,0,64.0,0,1090.0,214.0,1,0,0,1
1.0,141.0,77.0,2455.0,1,12.0,59.0,0,0,87.0,0,461.0,219.0,1,0,0,1
1.0,148.0,13.0,2386.0,1,11.0,60.0,0,0,89.0,1,321.0,156.0,0,1,0,1
1.0,116.0,87.0,2315.0,1,20.0,64.0,0,0,76.0,0,518.0,258.0,1,1,0,1
1.0,116.0,87.0,2315.0,1,20.0,64.0,0,0,76.0,0,518.0,258.0,1,1,0,1
1.0,170.0,0.0,2532.0,1,27.0,60.0,0,0,73.0,1,180.0,1.0,0,1,1,0
1.0,172.0,0.0,2487.0,1,28.0,60.0,0,0,75.0,1,60.0,297.0,0,1,1,0
1.0,172.0,0.0,2493.0,1,27.0,60.0,0,0,77.0,1,78.0,11.0,0,1,1,0
1.0,173.0,0.0,2483.0,1,24.0,59.0,0,0,77.0,1,67.0,241.0,0,1,1,0
1.0,172.0,0.0,2493.0,1,27.0,60.0,0,0,77.0,1,78.0,11.0,0,1,1,0
1.0,148.0,13.0,2386.0,1,11.0,60.0,0,0,89.0,1,321.0,156.0,0,1,0,1
1.0,148.0,13.0,2386.0,1,11.0,60.0,0,0,89.0,1,321.0,156.0,0,1,0,1
12.0,50.0,0.0,2886.0,0,716.0,66.0,0,0,77.0,0,302.0,160.0,0,0,0,0
1.0,168.0,1.0,2637.0,1,37.0,61.0,0,1,67.0,1,461.0,228.0,0,0,1,0
1.0,172.0,0.0,2493.0,1,27.0,60.0,0,0,77.0,1,78.0,11.0,0,1,1,0
1.0,172.0,0.0,2493.0,1,27.0,60.0,0,0,77.0,1,78.0,11.0,0,1,1,0
1.0,173.0,16.0,2512.0,1,27.0,60.0,0,0,76.0,1,92.0,173.0,0,1,1,0
7.0,107.0,99.0,2478.0,1,179.0,67.0,1,0,61.0,0,1332.0,290.0,1,0,0,1
7.0,105.0,100.0,2488.0,1,197.0,66.0,1,0,65.0,0,992.0,16.0,0,0,0,1
7.0,106.0,13.0,2500.0,1,193.0,66.0,1,0,67.0,1,900.0,290.0,0,0,0,1
6.0,105.0,85.0,2224.0,1,121.0,70.0,1,0,70.0,0,1084.0,332.0,1,0,0,0
6.0,103.0,59.0,2229.0,1,102.0,71.0,1,0,65.0,0,1438.0,319.0,0,0,0,0
6.0,103.0,100.0,2194.0,1,97.0,71.0,1,0,63.0,0,1466.0,162.0,1,0,0,0
4.0,108.0,96.0,2261.0,1,54.0,71.0,1,0,65.0,1,1545.0,48.0,0,0,0,1
3.0,106.0,95.0,2267.0,1,21.0,68.0,1,0,73.0,0,994.0,319.0,1,0,0,1
3.0,106.0,95.0,2267.0,1,21.0,68.0,1,0,73.0,0,994.0,319.0,1,0,0,1
1.0,172.0,0.0,2510.0,1,26.0,60.0,0,0,75.0,1,201.0,48.0,0,1,1,0
1.0,173.0,16.0,2512.0,1,27.0,60.0,0,0,76.0,1,92.0,173.0,0,1,1,0
1.0,136.0,0.0,2174.0,1,20.0,60.0,0,1,90.0,0,37.0,221.0,0,0,0,1
1.0,138.0,99.0,2270.0,1,19.0,61.0,0,1,87.0,0,143.0,274.0,1,0,0,1
3.0,107.0,85.0,2513.0,1,71.0,64.0,1,0,66.0,0,908.0,148.0,1,0,0,1
1.0,151.0,2.0,2362.0,1,9.0,60.0,0,0,90.0,1,270.0,161.0,0,1,0,1
1.0,157.0,0.0,2196.0,1,6.0,59.0,0,1,94.0,0,15.0,269.0,0,0,0,1
1.0,156.0,2.0,2276.0,1,7.0,60.0,0,1,91.0,1,184.0,303.0,0,0,0,1
1.0,146.0,69.0,2202.0,0,11.0,58.0,0,0,95.0,0,23.0,252.0,0,0,0,1
1.0,145.0,34.0,2193.0,0,10.0,57.0,0,0,94.0,1,8.0,115.0,0,0,0,1
1.0,145.0,34.0,2193.0,0,10.0,57.0,0,0,94.0,1,8.0,115.0,0,0,0,1
1.0,145.0,34.0,2193.0,0,10.0,57.0,0,0,94.0,1,8.0,115.0,0,0,0,1
1.0,157.0,0.0,2255.0,1,5.0,60.0,0,1,92.0,1,98.0,10.0,0,0,0,1
1.0,116.0,67.0,2319.0,1,19.0,64.0,0,0,75.0,1,483.0,312.0,0,1,0,1
1.0,154.0,8.0,2278.0,1,3.0,60.0,0,1,90.0,1,183.0,257.0,0,0,0,1
1.0,156.0,19.0,2275.0,1,3.0,60.0,0,1,90.0,1,163.0,316.0,0,0,0,1
1.0,160.0,0.0,2232.0,1,0.0,59.0,0,1,92.0,1,50.0,131.0,0,0,0,1
1.0,149.0,1.0,2214.0,1,0.0,62.0,0,1,90.0,1,46.0,205.0,0,0,0,1
1.0,148.0,1.0,2240.0,1,1.0,62.0,0,0,90.0,1,85.0,189.0,0,1,0,1
1.0,145.0,8.0,2178.0,1,1.0,63.0,0,0,89.0,1,55.0,161.0,0,0,0,1
1.0,146.0,28.0,2149.0,1,1.0,62.0,0,0,91.0,1,14.0,351.0,0,0,0,1
0.0,146.0,100.0,2165.0,0,0.0,62.0,0,0,92.0,0,17.0,294.0,0,0,0,1
1.0,153.0,0.0,2209.0,1,2.0,60.0,0,1,93.0,0,32.0,98.0,0,0,0,1
1.0,150.0,0.0,2217.0,1,1.0,60.0,0,1,93.0,1,32.0,15.0,0,0,0,1
1.0,150.0,0.0,2210.0,1,0.0,60.0,0,1,92.0,1,55.0,277.0,0,0,0,1
1.0,150.0,41.0,2207.0,1,0.0,60.0,0,1,92.0,1,33.0,297.0,0,0,0,1
1.0,150.0,59.0,2193.0,1,0.0,60.0,0,0,93.0,0,50.0,147.0,1,0,0,1
1.0,150.0,5.0,2197.0,1,1.0,59.0,0,0,94.0,1,31.0,180.0,0,0,0,1
1.0,138.0,0.0,2038.0,0,0.0,59.0,0,0,92.0,0,28.0,30.0,0,0,0,0
1.0,113.0,9.0,2079.0,0,19.0,62.0,0,0,97.0,1,34.0,231.0,0,0,0,1
1.0,111.0,100.0,2259.0,1,9.0,64.0,1,0,77.0,0,621.0,180.0,1,0,0,1
1.0,111.0,100.0,2259.0,1,9.0,64.0,1,0,77.0,0,621.0,180.0,1,0,0,1
4.0,95.0,2.0,1792.0,1,64.0,65.0,0,1,104.0,1,106.0,177.0,0,0,0,0
4.0,97.0,22.0,1808.0,1,51.0,66.0,0,1,100.0,1,69.0,240.0,0,0,0,0
4.0,99.0,17.0,1835.0,1,40.0,65.0,0,0,97.0,0,244.0,150.0,1,0,0,0
4.0,98.0,74.0,1836.0,1,38.0,65.0,0,0,97.0,0,297.0,341.0,1,0,0,0
4.0,97.0,74.0,1823.0,1,41.0,65.0,0,0,98.0,0,206.0,187.0,1,0,0,0
4.0,97.0,87.0,1821.0,1,40.0,66.0,0,0,98.0,0,261.0,7.0,1,0,0,0
4.0,97.0,74.0,1823.0,1,41.0,65.0,0,0,98.0,0,206.0,187.0,1,0,0,0
8.0,81.0,0.0,1879.0,0,687.0,65.0,0,0,101.0,0,86.0,355.0,0,0,0,0
8.0,81.0,0.0,1879.0,0,687.0,65.0,0,0,101.0,0,86.0,355.0,0,0,0,0
8.0,82.0,0.0,1866.0,0,677.0,65.0,0,0,100.0,0,98.0,223.0,0,0,0,0
8.0,82.0,0.0,1866.0,0,677.0,65.0,0,0,100.0,0,98.0,223.0,0,0,0,0
8.0,102.0,3.0,1783.0,0,603.0,67.0,0,0,96.0,0,229.0,10.0,0,0,0,0
8.0,105.0,62.0,1799.0,0,567.0,67.0,0,0,92.0,0,259.0,208.0,0,0,0,0
8.0,105.0,62.0,1799.0,0,567.0,67.0,0,0,92.0,0,259.0,208.0,0,0,0,0
8.0,105.0,42.0,1814.0,0,580.0,67.0,0,0,94.0,0,243.0,231.0,0,0,0,0
8.0,129.0,33.0,1488.0,0,681.0,69.0,0,0,116.0,0,201.0,98.0,0,0,0,0
1.0,178.0,9.0,2564.0,1,32.0,61.0,0,1,71.0,1,336.0,211.0,0,0,1,0
1.0,173.0,16.0,2512.0,1,27.0,60.0,0,0,76.0,1,92.0,173.0,0,1,1,0
7.0,169.0,72.0,1230.0,0,465.0,71.0,0,0,115.0,0,122.0,58.0,0,0,0,0
7.0,168.0,96.0,1222.0,0,450.0,71.0,0,0,112.0,0,267.0,176.0,1,0,0,0
7.0,161.0,29.0,1387.0,0,409.0,69.0,0,0,114.0,0,55.0,111.0,0,0,0,0
6.0,104.0,96.0,1854.0,1,226.0,71.0,1,0,68.0,0,1128.0,267.0,1,0,0,0
1.0,172.0,0.0,2493.0,1,27.0,60.0,0,0,77.0,1,78.0,11.0,0,1,1,0
1.0,171.0,18.0,2525.0,1,23.0,59.0,0,0,73.0,1,211.0,347.0,0,1,1,0
1.0,172.0,0.0,2510.0,1,26.0,60.0,0,0,75.0,1,201.0,48.0,0,1,1,0
1.0,172.0,0.0,2493.0,1,27.0,60.0,0,0,77.0,1,78.0,11.0,0,1,1,0
1.0,173.0,16.0,2512.0,1,27.0,60.0,0,0,76.0,1,92.0,173.0,0,1,1,0
