env_76_soi_10,env_71_alt,env_76_soi_9,env_78_wat_3,env_76_soi_11,clim_70_ndm_per_year,env_79_forcov,env_77_veg_14,clim_60_pet5_may,env_73_asp,clim_34_prec10_oct,env_77_veg_16,clim_40_temp_season,clim_69_cwd_annual,clim_39_isotherm
0,9.0,0,0,0,1.0,0.0,0,84.0,228.0,159.0,0,2480.0,1.0,58.0
0,26.0,0,0,0,0.0,28.0,1,85.0,27.0,153.0,0,2471.0,0.0,57.0
0,201.0,0,1,1,1.0,0.0,0,75.0,48.0,172.0,1,2510.0,26.0,60.0
0,201.0,0,1,1,1.0,0.0,0,75.0,48.0,172.0,1,2510.0,26.0,60.0
0,78.0,0,1,1,1.0,0.0,0,77.0,11.0,172.0,1,2493.0,27.0,60.0
0,201.0,0,1,1,1.0,0.0,0,75.0,48.0,172.0,1,2510.0,26.0,60.0
0,78.0,0,1,1,1.0,0.0,0,77.0,11.0,172.0,1,2493.0,27.0,60.0
0,635.0,0,0,1,1.0,56.0,1,70.0,56.0,143.0,0,2523.0,13.0,63.0
0,1090.0,1,0,0,7.0,100.0,1,64.0,214.0,105.0,0,2486.0,196.0,67.0
0,1090.0,1,0,0,7.0,100.0,1,64.0,214.0,105.0,0,2486.0,196.0,67.0
0,461.0,0,0,0,1.0,77.0,1,87.0,219.0,141.0,0,2455.0,12.0,59.0
0,321.0,0,0,1,1.0,13.0,0,89.0,156.0,148.0,1,2386.0,11.0,60.0
0,518.0,0,0,1,1.0,87.0,1,76.0,258.0,116.0,0,2315.0,20.0,64.0
0,518.0,0,0,1,1.0,87.0,1,76.0,258.0,116.0,0,2315.0,20.0,64.0
0,180.0,0,1,1,1.0,0.0,0,73.0,1.0,170.0,1,2532.0,27.0,60.0
0,60.0,0,1,1,1.0,0.0,0,75.0,297.0,172.0,1,2487.0,28.0,60.0
0,78.0,0,1,1,1.0,0.0,0,77.0,11.0,172.0,1,2493.0,27.0,60.0
0,67.0,0,1,1,1.0,0.0,0,77.0,241.0,173.0,1,2483.0,24.0,59.0
0,78.0,0,1,1,1.0,0.0,0,77.0,11.0,172.0,1,2493.0,27.0,60.0
0,321.0,0,0,1,1.0,13.0,0,89.0,156.0,148.0,1,2386.0,11.0,60.0
0,321.0,0,0,1,1.0,13.0,0,89.0,156.0,148.0,1,2386.0,11.0,60.0
0,302.0,0,0,0,12.0,0.0,0,77.0,160.0,50.0,0,2886.0,716.0,66.0
