env_77_veg_16,clim_60_pet5_may,env_79_forcov,clim_34_prec10_oct,clim_39_isotherm,clim_69_cwd_annual,env_76_soi_9,env_76_soi_10,clim_40_temp_season,env_78_wat_3,clim_70_ndm_per_year,env_73_asp,env_77_veg_14,env_76_soi_11,env_71_alt,caffeine_percent
0.0,84.0,0.0,159.0,58.0,1.0,0.0,0.0,2480.0,0.0,1.0,228.0,0.0,0.0,9.0,0.045
0.0,85.0,28.0,153.0,57.0,0.0,0.0,0.0,2471.0,0.0,0.0,27.0,1.0,0.0,26.0,0.045
1.0,75.0,0.0,172.0,60.0,26.0,0.0,0.0,2510.0,1.0,1.0,48.0,0.0,1.0,201.0,0.045
1.0,75.0,0.0,172.0,60.0,26.0,0.0,0.0,2510.0,1.0,1.0,48.0,0.0,1.0,201.0,0.045
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.045
1.0,75.0,0.0,172.0,60.0,26.0,0.0,0.0,2510.0,1.0,1.0,48.0,0.0,1.0,201.0,0.06
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.06
0.0,70.0,56.0,143.0,63.0,13.0,0.0,0.0,2523.0,0.0,1.0,56.0,1.0,1.0,635.0,0.06
0.0,64.0,100.0,105.0,67.0,196.0,1.0,0.0,2486.0,0.0,7.0,214.0,1.0,0.0,1090.0,0.06
0.0,64.0,100.0,105.0,67.0,196.0,1.0,0.0,2486.0,0.0,7.0,214.0,1.0,0.0,1090.0,0.06
0.0,87.0,77.0,141.0,59.0,12.0,0.0,0.0,2455.0,0.0,1.0,219.0,1.0,0.0,461.0,0.06
1.0,89.0,13.0,148.0,60.0,11.0,0.0,0.0,2386.0,0.0,1.0,156.0,0.0,1.0,321.0,0.06
0.0,76.0,87.0,116.0,64.0,20.0,0.0,0.0,2315.0,0.0,1.0,258.0,1.0,1.0,518.0,0.06
0.0,76.0,87.0,116.0,64.0,20.0,0.0,0.0,2315.0,0.0,1.0,258.0,1.0,1.0,518.0,0.06
1.0,73.0,0.0,170.0,60.0,27.0,0.0,0.0,2532.0,1.0,1.0,1.0,0.0,1.0,180.0,0.7
1.0,75.0,0.0,172.0,60.0,28.0,0.0,0.0,2487.0,1.0,1.0,297.0,0.0,1.0,60.0,0.7
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.7
