env_77_veg_16,clim_60_pet5_may,env_79_forcov,clim_34_prec10_oct,clim_39_isotherm,clim_69_cwd_annual,env_76_soi_9,env_76_soi_10,clim_40_temp_season,env_78_wat_3,clim_70_ndm_per_year,env_73_asp,env_77_veg_14,env_76_soi_11,env_71_alt,caffeine_percent
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,1.0499999999999998
0.0,89.0182584875597,12.195106964085928,148.3828527299278,60.05202671070623,9.585206877554743,0.0,0.0,2387.6726364106635,0.0,1.0227222791465904,154.69947932265367,0.0,1.0,324.6180083413038,0.05109509045200574
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.11052631578947367
0.0,64.17723985456033,99.51534624773757,105.16290282053325,67.01513222506613,196.0699186294593,1.0,0.0,2487.3259238156206,0.0,7.000830250730486,215.58034120943066,1.0,0.0,1096.7762882475906,0.058817634540631214
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.05142857142857143
0.0,70.28365994146363,56.32890668583977,142.5827086336509,63.01838376890537,14.013522204500488,0.0,0.0,2523.4291421716757,0.0,0.9438494925216637,54.08849241394589,0.0,0.0,629.4544857214806,0.05220750322777671
0.0,76.27426241695639,15.451475166087214,172.52004077032632,59.9314343957609,26.108647144891723,0.0,0.0,2510.9029503321744,0.0,1.0,174.8855541165752,0.0,0.0,89.15452742407741,0.042352941176470586
0.0,84.0,0.0,159.0,58.0,1.0,0.0,0.0,2480.0,0.0,1.0,228.0,0.0,0.0,9.0,0.045
0.0,85.0,28.0,153.0,57.0,0.0,0.0,0.0,2471.0,0.0,0.0,27.0,1.0,0.0,26.0,0.045
1.0,75.0,0.0,172.0,60.0,26.0,0.0,0.0,2510.0,1.0,1.0,48.0,0.0,1.0,201.0,0.045
1.0,75.0,0.0,172.0,60.0,26.0,0.0,0.0,2510.0,1.0,1.0,48.0,0.0,1.0,201.0,0.045
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.045
1.0,75.0,0.0,172.0,60.0,26.0,0.0,0.0,2510.0,1.0,1.0,48.0,0.0,1.0,201.0,0.06
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.06
