gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
912453546,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,http://specimens.kew.org/herbarium/K000551385,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea pervilleana,,SPECIES,Coffea antsingyensis J.-F.Leroy,Coffea antsingyensis,J.-F.Leroy,MG,District Antsalova [Mahajanga: Region: Melaky],,PRESENT,,061b4f20-f241-11da-a328-b8a03c50a862,,,,,,,,,1959-01-11T00:00,11.0,1.0,1959.0,2895508,2895507.0,PRESERVED_SPECIMEN,K,Herbarium,K000551385,10203-RN,,,CC_BY_4_0,,Harmelin,TYPE,,2024-09-20T14:58:31.024Z,StillImage,CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912453529,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,http://specimens.kew.org/herbarium/K000551919,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea toshii,,SPECIES,Coffea toshii A.P.Davis & Rakotonas.,Coffea toshii,A.P.Davis & Rakotonas.,MG,Province Fianarantsoa. Ivohibe.,,PRESENT,,061b4f20-f241-11da-a328-b8a03c50a862,-22.473333,46.891944,,,801.0,,,,2006-01-31T00:00,31.0,1.0,2006.0,6289070,6289070.0,PRESERVED_SPECIMEN,K,Herbarium,K000551919,JT299,"Davis, P.A.",,CC_BY_4_0,,"Tosh, De, Block, Rakotonasolo",TYPE,,2024-09-20T14:59:24.109Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912166210,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,http://specimens.kew.org/herbarium/K000176357,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea ambongensis,,SPECIES,Coffea ambongensis J.-F.Leroy ex A.P.Davis & Rakotonas.,Coffea ambongensis,J.-F.Leroy ex A.P.Davis & Rakotonas.,MG,c. 1.4 km Sud de Soalala.,,PRESENT,,061b4f20-f241-11da-a328-b8a03c50a862,-16.121389,45.335,20.0,,5.0,,,,2000-02-08T00:00,8.0,2.0,2000.0,3848962,3848962.0,PRESERVED_SPECIMEN,K,Herbarium,K000176357,2553,"Davis, A.P.",,CC_BY_4_0,,"Davis, A.P.; Rakotonasolo",,,2024-09-20T14:58:21.540Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912166190,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,http://specimens.kew.org/herbarium/K000176382,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea grevei,grevei,SUBSPECIES,Coffea grevei subsp. grevei,Coffea grevei subsp. grevei,,MG,north of Morondave,,PRESENT,,061b4f20-f241-11da-a328-b8a03c50a862,-20.15,44.483333,2000.0,,50.0,,,,1996-01-01T00:00,1.0,1.0,1996.0,7221487,2895456.0,PRESERVED_SPECIMEN,K,Herbarium,K000176382,3746,"Davis, A.P.",,CC_BY_4_0,,"Jongkind, C.C.H.; Andriantiana",,,2024-09-20T14:59:21.182Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912166179,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,http://specimens.kew.org/herbarium/K000176288,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,,,GENUS,Coffea L.,Coffea,L.,MG,"Réserve Naturelle Intégrale Namaroka (RN 8), c. 40 km (GPS) south of Soalala",,PRESENT,,061b4f20-f241-11da-a328-b8a03c50a862,-16.4575,45.390278,20.0,,130.0,,,,2000-02-04T00:00,4.0,2.0,2000.0,2895315,,PRESERVED_SPECIMEN,K,Herbarium,K000176288,2537,,,CC_BY_4_0,,"Davis, A.P.",,,2024-09-20T14:58:20.737Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912166174,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,http://specimens.kew.org/herbarium/K000176358,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea ambongensis,,SPECIES,Coffea ambongensis J.-F.Leroy ex A.P.Davis & Rakotonas.,Coffea ambongensis,J.-F.Leroy ex A.P.Davis & Rakotonas.,MG,"Station Forestière Antsanitia, c. 20 km (GPS) north east of Mahajanga",,PRESENT,,061b4f20-f241-11da-a328-b8a03c50a862,-15.5775,46.416667,20.0,,5.0,,,,2000-01-26T00:00,26.0,1.0,2000.0,3848962,3848962.0,PRESERVED_SPECIMEN,K,Herbarium,K000176358,2512,"Davis, A.P.",,CC_BY_4_0,,"Davis, A.P.; Rakotonasolo; Wilkin",,,2024-09-20T14:59:11.519Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912166170,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,http://specimens.kew.org/herbarium/K000176380,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea grevei,grevei,SUBSPECIES,Coffea grevei subsp. grevei,Coffea grevei subsp. grevei,,MG,north of Morondave,,PRESENT,,061b4f20-f241-11da-a328-b8a03c50a862,-20.216667,44.4,,,50.0,,,,1996-01-05T00:00,5.0,1.0,1996.0,7221487,2895456.0,PRESERVED_SPECIMEN,K,Herbarium,K000176380,3646,"Davis, A.P.",,CC_BY_4_0,,"Jongkind, C.C.H.; Andriantiana",,,2024-09-20T14:59:21.298Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912166167,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,http://specimens.kew.org/herbarium/K000176384,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea humbertii,,SPECIES,Coffea humbertii J.-F.Leroy,Coffea humbertii,J.-F.Leroy,MG,on the road to Beholoka,,PRESENT,,061b4f20-f241-11da-a328-b8a03c50a862,-22.875,43.7975,2000.0,,,,,,2004-05-20T00:00,20.0,5.0,2004.0,2895557,2895557.0,PRESERVED_SPECIMEN,K,Herbarium,K000176384,785,"Davis, A.P.",,CC_BY_4_0,,"Rakotonasolo, F.; Zachary, R.",,,2024-09-20T14:58:18.827Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912166165,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,http://specimens.kew.org/herbarium/K000176395,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea grevei,grevei,SUBSPECIES,Coffea grevei subsp. grevei,Coffea grevei subsp. grevei,,MG,"Betsipotika, près d'Analaivo, à l'Est de Morondava",,PRESENT,,061b4f20-f241-11da-a328-b8a03c50a862,-20.316667,44.45,3000.0,,,,,,1962-12-03T00:00,3.0,12.0,1962.0,7221487,2895456.0,PRESERVED_SPECIMEN,K,Herbarium,K000176395,22140,"Davis, A.P.",,CC_BY_4_0,,"Capuron, R.",,,2024-09-20T14:58:18.829Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912166164,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,http://specimens.kew.org/herbarium/K000176353,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,,,GENUS,Coffea L.,Coffea,L.,MG,"Réserve Naturelle Intégrale Namaroka (RN 8), c. 40 km (GPS) south of Soalala",,PRESENT,,061b4f20-f241-11da-a328-b8a03c50a862,-16.453333,45.389722,20.0,,130.0,,,,2000-02-03T00:00,3.0,2.0,2000.0,2895315,,PRESERVED_SPECIMEN,K,Herbarium,K000176353,2528,,,CC_BY_4_0,,"Davis, A.P.",,,2024-09-20T14:58:19.216Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
