specimen_id,source_crs,longitude,latitude,mada_geom_point,sampled_layers,nodata_layers,is_categorical_encoded,specimen_name,env_71_alt_Altitude (meters),env_72_slo_Slope (degrees),env_73_asp_Aspect; clockwise from North (degrees),"env_74_solrad_Solar radiation; computed from altitude, slope and aspect (Wh.m-2.day-1)","env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",env_79_forcov_Percentage of forest cover in 1 km by 1 km grid cells (%)
abbayesii_0,4326,46.45,-24.36666,POINT (647070.6204618097 7304410.220689219),9,0,False,Coffea_abbayesii,408.0,1.0,307.0,7430.0,10.0,6.0,7.0,6.0,0.0
abbayesii_1,4326,46.83,-24.73,POINT (685086.8720605411 7263711.610572983),9,0,False,Coffea_abbayesii,820.0,20.0,56.0,7630.0,10.0,9.0,14.0,5.0,100.0
abbayesii_2,4326,46.8333,-24.7333,POINT (685415.815086571 7263341.630764661),9,0,False,Coffea_abbayesii,820.0,20.0,56.0,7630.0,10.0,9.0,14.0,5.0,100.0
abbayesii_3,4326,46.83333,-24.66667,POINT (685517.5605412831 7270721.614432366),9,0,False,Coffea_abbayesii,123.0,14.0,48.0,7595.0,10.0,10.0,7.0,5.0,0.0
abbayesii_4,4326,46.833333,-24.733333,POINT (685419.1044266553 7263337.930920706),9,0,False,Coffea_abbayesii,820.0,20.0,56.0,7630.0,10.0,9.0,14.0,5.0,100.0
abbayesii_5,4326,46.85,-24.8,POINT (687005.230680173 7255931.021614572),9,0,False,Coffea_abbayesii,49.0,1.0,240.0,7212.0,10.0,10.0,7.0,5.0,0.0
abbayesii_6,4326,46.863333,-24.760833,POINT (688412.4477942145 7260250.968656886),9,0,False,Coffea_abbayesii,350.0,14.0,167.0,6475.0,10.0,9.0,14.0,5.0,100.0
abbayesii_7,4326,46.962222,-24.836667,POINT (698293.4731815766 7251711.088876668),9,0,False,Coffea_abbayesii,338.0,19.0,282.0,7315.0,10.0,9.0,14.0,5.0,99.0
abbayesii_8,4326,47.136111,-24.842778,POINT (715860.4092442521 7250769.964015225),9,1,False,Coffea_abbayesii,5.0,3.0,311.0,7362.0,,21.0,7.0,5.0,18.0
abbayesii_9,4326,47.136667,-24.835833,POINT (715928.6693715989 7251538.425058084),9,0,False,Coffea_abbayesii,5.0,3.0,120.0,7187.0,2.0,21.0,7.0,5.0,7.0
abbayesii_10,4326,47.1401,-24.835216,POINT (716276.781554349 7251601.331429132),9,5,False,Coffea_abbayesii,14.0,,,,,,15.0,5.0,48.0
abbayesii_11,4326,47.166111,-24.796389,POINT (718974.5237810896 7255860.966205925),9,0,False,Coffea_abbayesii,0.0,0.0,246.0,7250.0,2.0,21.0,6.0,5.0,18.0
abbayesii_12,4326,47.863889,-21.3825,POINT (796967.0982798996 7632811.5735395495),9,0,False,Coffea_abbayesii,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
abbayesii_13,4326,47.866667,-21.383333,POINT (797253.6520891015 7632714.03380194),9,0,False,Coffea_abbayesii,78.0,6.0,11.0,7706.0,10.0,11.0,16.0,3.0,0.0
abbayesii_14,4326,47.867861,-21.377889,POINT (797388.5523752098 7633314.85921484),9,0,False,Coffea_abbayesii,92.0,13.0,173.0,6717.0,10.0,11.0,16.0,3.0,16.0
andrambovatensis_35,4326,47.75,-21.516667,POINT (784889.6338244496 7618160.762740698),9,0,False,Coffea_andrambovatensis,391.0,10.0,191.0,7580.0,10.0,11.0,16.0,3.0,0.0
andrambovatensis_36,4326,47.758333,-21.525,POINT (785737.0767059072 7617222.442619566),9,0,False,Coffea_andrambovatensis,296.0,7.0,267.0,7456.0,10.0,11.0,16.0,3.0,0.0
andrambovatensis_37,4326,47.866667,-21.383333,POINT (797253.6520891015 7632714.03380194),9,0,False,Coffea_andrambovatensis,78.0,6.0,11.0,7706.0,10.0,11.0,16.0,3.0,0.0
arenesiana_60,4326,47.5331,-18.939287,POINT (766774.1131943119 7903975.383623635),9,0,False,Coffea_arenesiana,1252.0,1.0,289.0,7911.0,1.0,10.0,4.0,20.0,0.0
arenesiana_61,4326,47.928889,-18.919722,POINT (808519.6229292486 7905496.676447506),9,0,False,Coffea_arenesiana,1174.0,8.0,338.0,7929.0,10.0,9.0,14.0,15.0,33.0
arenesiana_62,4326,48.033333,-18.883333,POINT (819598.6437374875 7909341.577006979),9,0,False,Coffea_arenesiana,875.0,1.0,148.0,7785.0,1.0,12.0,6.0,15.0,0.0
arenesiana_63,4326,48.216667,-19.177222,POINT (838334.1604373527 7876441.048947236),9,0,False,Coffea_arenesiana,1025.0,3.0,189.0,7711.0,10.0,9.0,14.0,2.0,62.0
arenesiana_64,4326,48.228611,-19.177222,POINT (839591.4978414372 7876417.793199601),9,0,False,Coffea_arenesiana,1011.0,4.0,139.0,7753.0,10.0,9.0,14.0,2.0,27.0
arenesiana_65,4326,48.254139,-19.120401,POINT (842396.2634442383 7882663.036728507),9,0,False,Coffea_arenesiana,971.0,2.0,202.0,7838.0,10.0,9.0,16.0,2.0,0.0
arenesiana_66,4326,48.275,-18.95,POINT (844945.4580991727 7901500.991120957),9,0,False,Coffea_arenesiana,955.0,6.0,240.0,7515.0,10.0,9.0,16.0,2.0,5.0
bertrandii_90,4326,46.486576,-24.820319,POINT (650238.3690614552 7254129.565000778),9,0,False,Coffea_bertrandii,91.0,2.0,115.0,7232.0,10.0,6.0,12.0,6.0,100.0
bertrandii_91,4326,46.63333,-25.01666,POINT (664811.0648534158 7232213.926725963),9,0,False,Coffea_bertrandii,114.0,4.0,353.0,7301.0,10.0,6.0,7.0,5.0,84.0
bertrandii_92,4326,46.639722,-25.023333,POINT (665447.2146653433 7231467.0431410335),9,0,False,Coffea_bertrandii,126.0,3.0,316.0,7346.0,10.0,6.0,7.0,5.0,79.0
bertrandii_93,4326,46.66666,-25.03333,POINT (668152.1082198943 7230326.594352566),9,0,False,Coffea_bertrandii,72.0,9.0,189.0,6765.0,10.0,9.0,7.0,5.0,20.0
