,C_kianjavatensis_A602,C_bertrandii_A5,C_richardii_A575,C_farafanganensis_A208,C_millotii_A222,C_abbayesii_A601,C_homollei_A945,C_perrieri_A12,C_leroyi_A315,C_andrambovatensis_A310,C_vianneyi_A946,C_resinosa_A8,C_arenesiana_A403,C_vatovavyensis_A830,C_pervilleana_A957,C_tsirananae_A515,C_tetragona_A252,C_lancifolia_A320,C_humbertii_RNF785,C_heimii_A516,C_dubardii_A969
C_kianjavatensis_A602,0.0,0.13751,0.12301,0.13208999999999999,0.12204999999999999,0.11615999999999999,0.11978,0.13163,0.11986,0.13702999999999999,0.12841999999999998,0.1362,0.14401999999999998,0.14993,0.16102,0.18966,0.28325999999999996,0.23143999999999998,0.20343,0.15328,0.14204
C_bertrandii_A5,0.13751,0.0,0.11223999999999999,0.12131999999999998,0.11127999999999999,0.10538999999999998,0.11299000000000001,0.12484,0.11307,0.13024000000000002,0.12301,0.13079000000000002,0.13861,0.14451999999999998,0.15561,0.18425,0.27785,0.22602999999999998,0.19802,0.14787,0.13663
C_richardii_A575,0.12301,0.11223999999999999,0.0,0.10025999999999999,0.09022,0.08432999999999999,0.09849,0.11034,0.09856999999999999,0.11574000000000001,0.10851,0.11629,0.12411,0.13002,0.14111,0.16975,0.26335,0.21153,0.18352000000000002,0.13337,0.12213
C_farafanganensis_A208,0.13208999999999999,0.12131999999999998,0.10025999999999999,0.0,0.095,0.08911,0.10757,0.11942,0.10765,0.12482000000000001,0.11759,0.12537,0.13319,0.1391,0.15019,0.17883,0.27243,0.22060999999999997,0.1926,0.14245,0.13121
C_millotii_A222,0.12204999999999999,0.11127999999999999,0.09022,0.095,0.0,0.07430999999999999,0.09753,0.10938,0.09761,0.11478000000000001,0.10754999999999999,0.11533,0.12315,0.12906,0.14015,0.16879,0.26239,0.21056999999999998,0.18256,0.13241,0.12117
C_abbayesii_A601,0.11615999999999999,0.10538999999999998,0.08432999999999999,0.08911,0.07430999999999999,0.0,0.09164,0.10349,0.09172,0.10889000000000001,0.10166,0.10944000000000001,0.11726,0.12317,0.13426,0.1629,0.2565,0.20467999999999997,0.17667,0.12652,0.11528
C_homollei_A945,0.11978,0.11299000000000001,0.09849,0.10757,0.09753,0.09164,0.0,0.08321,0.07144,0.08861,0.10528,0.11306000000000001,0.12088,0.12679,0.13788,0.16652,0.26012,0.20829999999999999,0.18029,0.13014,0.1189
C_perrieri_A12,0.13163,0.12484,0.11034,0.11942,0.10938,0.10349,0.08321,0.0,0.06634999999999999,0.09866,0.11713,0.12491000000000001,0.13273000000000001,0.13863999999999999,0.14973,0.17837,0.27197,0.22014999999999998,0.19214,0.14199,0.13075
C_leroyi_A315,0.11986,0.11307,0.09856999999999999,0.10765,0.09761,0.09172,0.07144,0.06634999999999999,0.0,0.08689,0.10536,0.11314,0.12096,0.12686999999999998,0.13796,0.1666,0.2602,0.20837999999999998,0.18037,0.13022,0.11898
C_andrambovatensis_A310,0.13702999999999999,0.13024000000000002,0.11574000000000001,0.12482000000000001,0.11478000000000001,0.10889000000000001,0.08861,0.09866,0.08689,0.0,0.12253,0.13031,0.13813,0.14404,0.15513,0.18377,0.27737,0.22554999999999997,0.19754,0.14739000000000002,0.13615
