,C_kianjavatensis_A602,C_bertrandii_A5,C_richardii_A575,C_farafanganensis_A208,C_millotii_A222,C_abbayesii_A601,C_homollei_A945,C_perrieri_A12,C_leroyi_A315,C_andrambovatensis_A310,C_vianneyi_A946,C_resinosa_A8,C_arenesiana_A403,C_vatovavyensis_A830,C_pervilleana_A957,C_tsirananae_A515,C_tetragona_A252,C_lancifolia_A320,C_humbertii_RNF785,C_heimii_A516,C_dubardii_A969
C_kianjavatensis_A602,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
C_bertrandii_A5,2.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
C_richardii_A575,2.0,4.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
C_farafanganensis_A208,2.0,4.0,5.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
C_millotii_A222,2.0,4.0,5.0,6.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
C_abbayesii_A601,2.0,4.0,5.0,6.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
C_homollei_A945,2.0,4.0,5.0,6.0,7.0,7.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
C_perrieri_A12,2.0,4.0,5.0,6.0,7.0,7.0,4.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
C_leroyi_A315,2.0,4.0,5.0,6.0,7.0,7.0,4.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
C_andrambovatensis_A310,2.0,4.0,5.0,6.0,7.0,7.0,4.0,6.0,6.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
C_vianneyi_A946,2.0,4.0,5.0,6.0,7.0,7.0,4.0,6.0,6.0,5.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
C_resinosa_A8,2.0,4.0,5.0,6.0,7.0,7.0,4.0,6.0,6.0,5.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
C_arenesiana_A403,2.0,4.0,5.0,6.0,7.0,7.0,4.0,6.0,6.0,5.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
C_vatovavyensis_A830,2.0,4.0,5.0,6.0,7.0,7.0,4.0,6.0,6.0,5.0,2.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
C_pervilleana_A957,2.0,4.0,5.0,6.0,7.0,7.0,4.0,6.0,6.0,5.0,2.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
C_tsirananae_A515,2.0,4.0,5.0,6.0,7.0,7.0,4.0,6.0,6.0,5.0,2.0,3.0,3.0,2.0,3.0,0.0,6.0,6.0,6.0,6.0,6.0
C_tetragona_A252,2.0,4.0,5.0,6.0,7.0,7.0,4.0,6.0,6.0,5.0,2.0,3.0,3.0,2.0,3.0,6.0,0.0,7.0,7.0,7.0,7.0
C_lancifolia_A320,2.0,4.0,5.0,6.0,7.0,7.0,4.0,6.0,6.0,5.0,2.0,3.0,3.0,2.0,3.0,6.0,7.0,0.0,7.0,7.0,7.0
C_humbertii_RNF785,2.0,4.0,5.0,6.0,7.0,7.0,4.0,6.0,6.0,5.0,2.0,3.0,3.0,2.0,3.0,6.0,7.0,7.0,0.0,5.0,5.0
C_heimii_A516,2.0,4.0,5.0,6.0,7.0,7.0,4.0,6.0,6.0,5.0,2.0,3.0,3.0,2.0,3.0,6.0,7.0,7.0,5.0,0.0,5.0
C_dubardii_A969,2.0,4.0,5.0,6.0,7.0,7.0,4.0,6.0,6.0,5.0,2.0,3.0,3.0,2.0,3.0,6.0,7.0,7.0,5.0,5.0,0.0
