,C_abbayesii_A601,C_andrambovatensis_A310,C_arenesiana_A403,C_bertrandii_A5,C_dubardii_A969,C_farafanganensis_A208,C_heimii_A516,C_homollei_A945,C_humbertii_RNF785,C_kianjavatensis_A602,C_lancifolia_A320,C_leroyi_A315,C_millotii_A222,C_perrieri_A12,C_pervilleana_A957,C_resinosa_A8,C_richardii_A575,C_tetragona_A252,C_tsirananae_A515,C_vatovavyensis_A830,C_vianneyi_A946
C_abbayesii_A601,0.0,372.97066201710993,644.4666061121011,42.12352400835462,1347.1422651412438,384.72177306870316,1388.7828328605146,384.71414651469223,321.84786082365724,384.9654758034443,790.6314409986204,1169.0604914859334,1066.856228201042,46.5341177759716,793.9576448520331,198.75706917545693,805.0782068600893,786.370932963101,1392.7216600159043,384.6893276081291,384.92076304694547
C_andrambovatensis_A310,372.97066201710993,0.0,272.8784697389151,411.35870234823165,975.2058759423195,12.724015398905959,1016.4321027238616,12.735380265914632,436.6226461172514,13.538711719671117,419.23128327460506,796.1091524020677,695.0867887323134,381.93985037290656,525.8793853261678,181.630335900277,434.2823526869486,519.4305199179504,1020.6085649814969,14.534885543668073,12.942503232131973
C_arenesiana_A403,644.4666061121011,272.8784697389151,0.0,681.674431117484,702.709879356395,261.9958690725939,744.3421476911667,262.01160725260536,637.4238246315434,262.0023086633502,170.33923455291136,526.2083185343558,434.0420891697481,649.704918287309,404.14758339750523,454.20483584113117,187.7412889430545,400.78491378049745,748.2578123016957,262.711144328256,261.81511960031423
C_bertrandii_A5,42.12352400835462,411.35870234823165,681.674431117484,0.0,1384.0466630929577,423.30909929197117,1425.9611004629433,423.30351334119183,314.9707718699308,423.6117707074394,829.894717374547,1207.0318799382978,1106.052481593341,42.319940554496625,816.2557182527863,239.72785317349505,844.522029469107,808.618486130856,1429.7272348200506,423.4331793411431,423.51170934017597
C_dubardii_A969,1347.1422651412438,975.2058759423195,702.709879356395,1384.0466630929577,0.0,963.9825074223676,45.80503120228702,963.9952551425666,1294.605926130399,963.8946742124436,572.378150619729,190.8587229824495,319.2649709207658,1351.1666307691924,769.0678993117452,1155.7394737875186,561.8925619513951,773.9188021078959,46.14874130933305,964.4417077392694,963.7942935798346
C_farafanganensis_A208,384.72177306870316,12.724015398905959,261.9958690725939,423.30909929197117,963.9825074223676,0.0,1005.0889487622471,0.04916432924285185,448.35199508574283,1.439959549641547,406.99640523750855,784.4683611490351,682.9439883684404,394.18757520751024,523.7532250487562,192.2172829033827,421.97508405542084,517.4074730780441,1009.3346282239768,3.777387354105791,0.21866278404052766
C_heimii_A516,1388.7828328605146,1016.4321027238616,744.3421476911667,1425.9611004629433,45.80503120228702,1005.0889487622471,0.0,1005.1007150659142,1339.581326746598,1004.9714649936178,610.3133977821208,225.7702666219162,350.34043167676634,1393.4333120681783,814.6263199055206,1196.5562877890277,599.2110047070397,819.511669188376,12.689282167836994,1005.470488591333,1004.8984803268092
C_homollei_A945,384.71414651469223,12.735380265914632,262.01160725260536,423.30351334119183,963.9952551425666,0.04916432924285185,1005.1007150659142,0.0,448.3807185285306,1.3934417398646126,406.9989164139858,784.4775255860588,682.9476634414544,394.18567705445395,523.7987474695407,192.2009852759498,421.97651477091074,517.4531494700981,1009.3469627814769,3.728726638685784,0.21085440616320572
C_humbertii_RNF785,321.84786082365724,436.6226461172514,637.4238246315434,314.9707718699308,1294.605926130399,448.35199508574283,1339.581326746598,448.3807185285306,0.0,449.52232429335555,807.1539388668009,1140.2617122764882,1065.8433714142882,278.6143394539473,604.0234960324905,373.2838159885454,824.3343547603048,596.4965933247522,1340.6016015115438,450.979480817785,448.5572454331564
C_kianjavatensis_A602,384.9654758034443,13.538711719671117,262.0023086633502,423.6117707074394,963.8946742124436,1.439959549641547,1004.9714649936178,1.3934417398646126,449.52232429335555,0.0,406.61052789010836,784.2736147706958,682.5902036670933,394.5953371418088,524.8447837741783,192.20255725516915,421.55869441417514,518.5068632647341,1009.2342591693589,2.375431837277739,1.3296329048902762
