Species_name,Botanical series
C_tetragona_A252,Garcinioides
C_dubardii_A969,Garcinioides
C_heimii_A516,Garcinioides
C_farafanganensis_A208,Millotii complex
C_richardii_A575,Millotii complex
C_abbayesii_A601,Millotii complex
C_millotii_A222,Millotii complex
C_leroyi_A315,Multiflorae
C_andrambovatensis_A310,Multiflorae
C_resinosa_A8,Multiflorae
C_vianneyi_A946,Multiflorae
C_arenesiana_A403,Multiflorae
C_bertrandii_A5,Multiflorae
C_perrieri_A12,Multiflorae
C_pervilleana_A957,Subterminales
C_tsirananae_A515,Subterminales
C_vatovavyensis_A830,Subterminales
C_lancifolia_A320,Verae
C_homollei_A945,Verae
C_kianjavatensis_A602,Verae
C_humbertii_RNF785,
